Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-APK-0002,Group,Shared Experience,Trip,Travel,Expense,2026-06-16,03:13:25,2026-06-16 03:13:25,24638.31,INR,-24638.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0002,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
35,MTR-APK-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-03,12:53:45,2025-11-03 12:53:45,11051.76,INR,-11051.76,APK Meera,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0035 | Gifts | 11051.76,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0035,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-APK-GROUP-WEDDING-0035 | Gifts | 11051.76,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
38,MTR-APK-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-05-27,04:31:44,2026-05-27 04:31:44,2512.06,INR,-2512.06,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0038 | Photography | 2512.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0038,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-APK-GROUP-WEDDING-0038 | Photography | 2512.06,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
41,MTR-APK-0041,Group,Shared Experience,Wedding,Other,Expense,2025-12-09,11:54:56,2025-12-09 11:54:56,24454.65,INR,-24454.65,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0041 | Other | 24454.65,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0041,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-APK-GROUP-WEDDING-0041 | Other | 24454.65,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
44,MTR-APK-0044,Group,Shared Experience,Office Outing,Food,Expense,2026-06-20,04:38:35,2026-06-20 04:38:35,14815.69,INR,-14815.69,APK Meera,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0044 | Food | 14815.69,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0044,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-OFFICE_OUTING-0044 | Food | 14815.69,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
47,MTR-APK-0047,Group,Shared Experience,Office Outing,Travel,Expense,2025-11-05,13:23:38,2025-11-05 13:23:38,11627.17,INR,-11627.17,APK Owner,3,SHARES,MAESTRO-APK-GROUP-OFFICE_OUTING-0047 | Travel | 11627.17,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0047,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Travel,MAESTRO-APK-GROUP-OFFICE_OUTING-0047 | Travel | 11627.17,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
50,MTR-APK-0050,Group,Shared Experience,Office Outing,Activities,Expense,2026-06-04,20:06:57,2026-06-04 20:06:57,6311.85,INR,-6311.85,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-OFFICE_OUTING-0050 | Activities | 6311.85,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0050,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-OFFICE_OUTING-0050 | Activities | 6311.85,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
53,MTR-APK-0053,Group,Shared Experience,Office Outing,Venue,Expense,2025-09-26,11:34:01,2025-09-26 11:34:01,11630.08,INR,-11630.08,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-OFFICE_OUTING-0053 | Venue | 11630.08,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0053,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-APK-GROUP-OFFICE_OUTING-0053 | Venue | 11630.08,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
56,MTR-APK-0056,Group,Shared Experience,Office Outing,Other,Expense,2026-06-16,13:55:36,2026-06-16 13:55:36,22985.03,INR,-22985.03,APK Owner,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0056 | Other | 22985.03,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0056,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-OFFICE_OUTING-0056 | Other | 22985.03,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
59,MTR-APK-0059,Group,Shared Experience,House Party,Food,Expense,2026-07-04,00:12:17,2026-07-04 00:12:17,12820.18,INR,-12820.18,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0059 | Food | 12820.18,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0059,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Food,MAESTRO-APK-GROUP-HOUSE_PARTY-0059 | Food | 12820.18,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
62,MTR-APK-0062,Group,Shared Experience,House Party,Drinks,Expense,2026-01-02,05:45:12,2026-01-02 05:45:12,4283.14,INR,-4283.14,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-HOUSE_PARTY-0062 | Drinks | 4283.14,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0062,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Drinks,MAESTRO-APK-GROUP-HOUSE_PARTY-0062 | Drinks | 4283.14,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
65,MTR-APK-0065,Group,Shared Experience,House Party,Decor,Expense,2026-03-19,07:18:10,2026-03-19 07:18:10,29301.22,INR,-29301.22,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0065 | Decor | 29301.22,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0065,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-HOUSE_PARTY-0065 | Decor | 29301.22,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
68,MTR-APK-0068,Group,Shared Experience,House Party,Supplies,Expense,2025-09-07,18:52:07,2025-09-07 18:52:07,28184.27,INR,-28184.27,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-HOUSE_PARTY-0068 | Supplies | 28184.27,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0068,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Supplies,MAESTRO-APK-GROUP-HOUSE_PARTY-0068 | Supplies | 28184.27,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
71,MTR-APK-0071,Group,Shared Experience,House Party,Other,Expense,2026-01-23,14:50:12,2026-01-23 14:50:12,20798.48,INR,-20798.48,APK Meera,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0071 | Other | 20798.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0071,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-HOUSE_PARTY-0071 | Other | 20798.48,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
74,MTR-APK-0074,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-02-12,14:57:31,2026-02-12 14:57:31,99.99,INR,99.99,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-GIFT_POOL-0074 | Contribution | 99.99,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0074,android,G05,GIFT_POOL,Contribute,G05:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.equal,Contribution,MAESTRO-APK-GROUP-GIFT_POOL-0074 | Contribution | 99.99,JOINED,
77,MTR-APK-0077,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-12-09,16:37:01,2025-12-09 16:37:01,6564.16,INR,-6564.16,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-GIFT_POOL-0077 | Gift Purchase | 6564.16,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0077,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Gift Purchase,MAESTRO-APK-GROUP-GIFT_POOL-0077 | Gift Purchase | 6564.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
80,MTR-APK-0080,Group,Shared Purchase,Gift Pool,Delivery,Expense,2025-12-23,01:40:13,2025-12-23 01:40:13,14120.63,INR,-14120.63,APK Meera,3,EXACT,MAESTRO-APK-GROUP-GIFT_POOL-0080 | Delivery | 14120.63,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0080,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Delivery,MAESTRO-APK-GROUP-GIFT_POOL-0080 | Delivery | 14120.63,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
83,MTR-APK-0083,Group,Shared Purchase,Gift Pool,Other,Expense,2026-07-01,04:07:46,2026-07-01 04:07:46,29651.68,INR,-29651.68,APK Owner,3,SHARES,MAESTRO-APK-GROUP-GIFT_POOL-0083 | Other | 29651.68,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0083,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-GIFT_POOL-0083 | Other | 29651.68,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
86,MTR-APK-0086,Group,Shared Purchase,Purchase,Item,Expense,2026-01-07,17:15:38,2026-01-07 17:15:38,20358.43,INR,-20358.43,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-PURCHASE-0086 | Item | 20358.43,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0086,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Item,MAESTRO-APK-GROUP-PURCHASE-0086 | Item | 20358.43,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
89,MTR-APK-0089,Group,Shared Purchase,Purchase,Shipping,Expense,2025-11-21,06:49:43,2025-11-21 06:49:43,20379.21,INR,-20379.21,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-PURCHASE-0089 | Shipping | 20379.21,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0089,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shipping,MAESTRO-APK-GROUP-PURCHASE-0089 | Shipping | 20379.21,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
92,MTR-APK-0092,Group,Shared Purchase,Purchase,Tax,Expense,2025-10-29,05:48:04,2025-10-29 05:48:04,17660.08,INR,-17660.08,APK Owner,3,EXACT,MAESTRO-APK-GROUP-PURCHASE-0092 | Tax | 17660.08,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0092,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Tax,MAESTRO-APK-GROUP-PURCHASE-0092 | Tax | 17660.08,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
95,MTR-APK-0095,Group,Shared Purchase,Purchase,Other,Expense,2026-06-24,10:06:45,2026-06-24 10:06:45,27931.01,INR,-27931.01,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-PURCHASE-0095 | Other | 27931.01,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0095,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-PURCHASE-0095 | Other | 27931.01,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
98,MTR-APK-0098,Group,Shared Purchase,Assets,Purchase,Expense,2025-09-19,06:56:35,2025-09-19 06:56:35,13518.21,INR,-13518.21,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-ASSETS-0098 | Purchase | 13518.21,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0098,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Purchase,MAESTRO-APK-GROUP-ASSETS-0098 | Purchase | 13518.21,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
101,MTR-APK-0101,Group,Shared Purchase,Assets,Maintenance,Expense,2026-05-04,19:31:03,2026-05-04 19:31:03,15192.08,INR,-15192.08,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-ASSETS-0101 | Maintenance | 15192.08,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0101,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Maintenance,MAESTRO-APK-GROUP-ASSETS-0101 | Maintenance | 15192.08,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
104,MTR-APK-0104,Group,Shared Purchase,Assets,Repair,Expense,2025-12-14,15:00:18,2025-12-14 15:00:18,19012.96,INR,-19012.96,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-ASSETS-0104 | Repair | 19012.96,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0104,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Repair,MAESTRO-APK-GROUP-ASSETS-0104 | Repair | 19012.96,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
107,MTR-APK-0107,Group,Shared Purchase,Assets,Insurance,Expense,2026-05-11,13:59:25,2026-05-11 13:59:25,28997.44,INR,-28997.44,APK Meera,3,SHARES,MAESTRO-APK-GROUP-ASSETS-0107 | Insurance | 28997.44,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0107,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Insurance,MAESTRO-APK-GROUP-ASSETS-0107 | Insurance | 28997.44,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
110,MTR-APK-0110,Group,Shared Purchase,Assets,Other,Expense,2026-01-27,00:54:16,2026-01-27 00:54:16,3304.67,INR,-3304.67,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-ASSETS-0110 | Other | 3304.67,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0110,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Other,MAESTRO-APK-GROUP-ASSETS-0110 | Other | 3304.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
113,MTR-APK-0113,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2026-06-04,14:22:34,2026-06-04 14:22:34,2937.05,INR,-2937.05,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0113 | Custom Expense | 2937.05,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0113,android,G08,COMMUNITY_PURCHASE,Expense,G08:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Custom Expense,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0113 | Custom Expense | 2937.05,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
116,MTR-APK-0116,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-01-18,10:39:17,2026-01-18 10:39:17,5926.92,INR,5926.92,APK Meera,3,EXACT,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0116 | Custom Contribution | 5926.92,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0116,android,G08,COMMUNITY_PURCHASE,Contribute,G08:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.exact,Custom Contribution,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0116 | Custom Contribution | 5926.92,JOINED,
119,MTR-APK-0119,Group,Shared Living,Flatmates,Rent,Expense,2026-02-02,21:51:06,2026-02-02 21:51:06,11479.39,INR,-11479.39,APK Owner,3,SHARES,MAESTRO-APK-GROUP-FLATMATES-0119 | Rent | 11479.39,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0119,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Rent,MAESTRO-APK-GROUP-FLATMATES-0119 | Rent | 11479.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
122,MTR-APK-0122,Group,Shared Living,Flatmates,Utilities,Expense,2025-10-11,09:37:26,2025-10-11 09:37:26,15151.49,INR,-15151.49,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-FLATMATES-0122 | Utilities | 15151.49,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0122,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Utilities,MAESTRO-APK-GROUP-FLATMATES-0122 | Utilities | 15151.49,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
125,MTR-APK-0125,Group,Shared Living,Flatmates,Groceries,Expense,2026-06-22,16:09:03,2026-06-22 16:09:03,4352.49,INR,-4352.49,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-FLATMATES-0125 | Groceries | 4352.49,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0125,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Groceries,MAESTRO-APK-GROUP-FLATMATES-0125 | Groceries | 4352.49,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
