Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
34,MTR-APK-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-02-16,18:28:10,2026-02-16 18:28:10,15043.4,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 15043.40,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0034,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 15043.40,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
37,MTR-APK-0037,Personal,Personal,Lifestyle,Dining,Expense,2025-12-12,15:37:13,2025-12-12 15:37:13,1.0,INR,-1.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0037,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-APK-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
40,MTR-APK-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-05-18,11:59:38,2026-05-18 11:59:38,11815.79,INR,-11815.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0040 | Shopping | 11815.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0040,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-APK-PERSONAL-LIFESTYLE-0040 | Shopping | 11815.79,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
43,MTR-APK-0043,Personal,Personal,Lifestyle,Entertainment,Expense,2026-05-03,17:13:45,2026-05-03 17:13:45,7994.28,INR,-7994.28,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0043 | Entertainment | 7994.28,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0043,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Entertainment,MAESTRO-APK-PERSONAL-LIFESTYLE-0043 | Entertainment | 7994.28,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
46,MTR-APK-0046,Personal,Personal,Lifestyle,Travel,Expense,2026-08-29,11:21:48,2026-08-29 11:21:48,7775.49,INR,-7775.49,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0046 | Travel | 7775.49,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0046,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Travel,MAESTRO-APK-PERSONAL-LIFESTYLE-0046 | Travel | 7775.49,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
49,MTR-APK-0049,Personal,Personal,Lifestyle,Fitness,Expense,2026-03-02,02:43:25,2026-03-02 02:43:25,5113.0,INR,-5113.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0049 | Fitness | 5113.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0049,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Fitness,MAESTRO-APK-PERSONAL-LIFESTYLE-0049 | Fitness | 5113.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
52,MTR-APK-0052,Personal,Personal,Lifestyle,Hobbies,Expense,2025-10-15,16:58:28,2025-10-15 16:58:28,7665.21,INR,-7665.21,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0052 | Hobbies | 7665.21,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0052,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Hobbies,MAESTRO-APK-PERSONAL-LIFESTYLE-0052 | Hobbies | 7665.21,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
55,MTR-APK-0055,Personal,Personal,Relationships,Gifts,Expense,2026-04-24,08:21:19,2026-04-24 08:21:19,15569.83,INR,-15569.83,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0055 | Gifts | 15569.83,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0055,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Gifts,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0055 | Gifts | 15569.83,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
58,MTR-APK-0058,Personal,Personal,Relationships,Dates,Expense,2026-08-06,13:20:58,2026-08-06 13:20:58,6870.56,INR,-6870.56,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0058 | Dates | 6870.56,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0058,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Dates,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0058 | Dates | 6870.56,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
61,MTR-APK-0061,Personal,Personal,Relationships,Family,Expense,2025-11-18,01:41:56,2025-11-18 01:41:56,18879.6,INR,-18879.6,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0061 | Family | 18879.60,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0061,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Family,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0061 | Family | 18879.60,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
64,MTR-APK-0064,Personal,Personal,Relationships,Friends,Expense,2025-10-05,14:26:43,2025-10-05 14:26:43,9170.48,INR,-9170.48,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0064 | Friends | 9170.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0064,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Friends,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0064 | Friends | 9170.48,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
67,MTR-APK-0067,Personal,Personal,Relationships,Celebrations,Expense,2026-04-05,02:10:13,2026-04-05 02:10:13,16346.55,INR,-16346.55,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 16346.55,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0067,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Celebrations,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 16346.55,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
70,MTR-APK-0070,Personal,Personal,Life Operations,Groceries,Expense,2025-09-24,05:11:22,2025-09-24 05:11:22,10067.64,INR,-10067.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 10067.64,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0070,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 10067.64,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
73,MTR-APK-0073,Personal,Personal,Life Operations,Rent,Expense,2025-11-15,18:17:10,2025-11-15 18:17:10,5337.02,INR,-5337.02,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 5337.02,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0073,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 5337.02,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
76,MTR-APK-0076,Personal,Personal,Life Operations,Bills,Expense,2026-05-18,21:24:04,2026-05-18 21:24:04,4157.82,INR,-4157.82,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 4157.82,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0076,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 4157.82,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
79,MTR-APK-0079,Personal,Personal,Life Operations,Transport,Expense,2026-04-08,18:02:20,2026-04-08 18:02:20,13324.17,INR,-13324.17,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 13324.17,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0079,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 13324.17,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
82,MTR-APK-0082,Personal,Personal,Life Operations,Healthcare,Expense,2026-08-10,09:13:32,2026-08-10 09:13:32,3299.5,INR,-3299.5,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 3299.50,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0082,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 3299.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
85,MTR-APK-0085,Personal,Personal,Life Operations,Subscriptions,Expense,2025-09-25,00:16:18,2025-09-25 00:16:18,10747.65,INR,-10747.65,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0085 | Subscriptions | 10747.65,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0085,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0085 | Subscriptions | 10747.65,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
88,MTR-APK-0088,Personal,Personal,Life Operations,Repairs,Expense,2026-05-28,04:02:07,2026-05-28 04:02:07,10176.89,INR,-10176.89,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0088 | Repairs | 10176.89,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0088,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0088 | Repairs | 10176.89,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
91,MTR-APK-0091,Personal,Personal,Future Building,Savings,Transfer,2025-12-22,08:37:41,2025-12-22 08:37:41,16345.71,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0091 | Savings | 16345.71,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0091,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0091 | Savings | 16345.71,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
94,MTR-APK-0094,Personal,Personal,Future Building,Emergency Fund,Transfer,2026-03-04,22:45:42,2026-03-04 22:45:42,7257.29,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0094 | Emergency Fund | 7257.29,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0094,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0094 | Emergency Fund | 7257.29,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
97,MTR-APK-0097,Personal,Personal,Future Building,Investments,Investment,2026-02-13,10:15:23,2026-02-13 10:15:23,14044.15,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0097 | Investments | 14044.15,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0097,android,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0097 | Investments | 14044.15,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
100,MTR-APK-0100,Personal,Personal,Future Building,Education,Expense,2026-05-02,13:57:10,2026-05-02 13:57:10,14094.75,INR,-14094.75,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0100 | Education | 14094.75,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0100,android,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0100 | Education | 14094.75,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
103,MTR-APK-0103,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-01-07,10:04:18,2026-01-07 10:04:18,3029.59,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0103 | Goal Contribution | 3029.59,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0103,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0103 | Goal Contribution | 3029.59,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
106,MTR-APK-0106,Personal,Personal,Lifestyle,Dining,Expense,2026-01-31,08:32:26,2026-01-31 08:32:26,13569.65,INR,-13569.65,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0106 | Dining | 13569.65,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0106,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-APK-PERSONAL-LIFESTYLE-0106 | Dining | 13569.65,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
109,MTR-APK-0109,Personal,Personal,Lifestyle,Shopping,Expense,2026-06-04,21:51:13,2026-06-04 21:51:13,1691.63,INR,-1691.63,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0109 | Shopping | 1691.63,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0109,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-APK-PERSONAL-LIFESTYLE-0109 | Shopping | 1691.63,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
112,MTR-APK-0112,Personal,Personal,Lifestyle,Entertainment,Expense,2026-05-01,07:35:21,2026-05-01 07:35:21,16734.55,INR,-16734.55,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0112 | Entertainment | 16734.55,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0112,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Entertainment,MAESTRO-APK-PERSONAL-LIFESTYLE-0112 | Entertainment | 16734.55,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
115,MTR-APK-0115,Personal,Personal,Lifestyle,Travel,Expense,2026-03-06,15:38:37,2026-03-06 15:38:37,8483.76,INR,-8483.76,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0115 | Travel | 8483.76,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0115,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Travel,MAESTRO-APK-PERSONAL-LIFESTYLE-0115 | Travel | 8483.76,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
118,MTR-APK-0118,Personal,Personal,Lifestyle,Fitness,Expense,2026-01-28,08:34:32,2026-01-28 08:34:32,15253.93,INR,-15253.93,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0118 | Fitness | 15253.93,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0118,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Fitness,MAESTRO-APK-PERSONAL-LIFESTYLE-0118 | Fitness | 15253.93,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
121,MTR-APK-0121,Personal,Personal,Lifestyle,Hobbies,Expense,2025-11-04,00:08:46,2025-11-04 00:08:46,11750.7,INR,-11750.7,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0121 | Hobbies | 11750.70,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0121,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Hobbies,MAESTRO-APK-PERSONAL-LIFESTYLE-0121 | Hobbies | 11750.70,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
