Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001
17,MTR-APK-0017,Group,Shared Experience,Trip,Shopping,Expense,2025-12-18,06:34:31,2025-12-18 06:34:31,20495.39,INR,-20495.39,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0017 | Shopping | 20495.39,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0017
18,MTR-APK-0018,Business,Business,Team Operations,Training,Expense,2025-09-20,14:39:54,2025-09-20 14:39:54,160903.22,INR,-160903.22,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0018 | Training | 160903.22,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0018
19,MTR-APK-0019,Personal,Personal,Life Operations,Repairs,Expense,2025-11-23,22:11:09,2025-11-23 22:11:09,4331.15,INR,-4331.15,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 4331.15,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0019
20,MTR-APK-0020,Group,Shared Experience,Trip,Other,Expense,2026-06-20,19:09:01,2026-06-20 19:09:01,6176.0,INR,-6176.0,APK Owner,3,EXACT,MAESTRO-APK-GROUP-TRIP-0020 | Other | 6176.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0020
21,MTR-APK-0021,Business,Business,Team Operations,Tools,Expense,2026-01-08,20:54:57,2026-01-08 20:54:57,102478.06,INR,-102478.06,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 102478.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0021
22,MTR-APK-0022,Personal,Personal,Future Building,Savings,Transfer,2025-11-26,05:57:32,2025-11-26 05:57:32,13050.07,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0022 | Savings | 13050.07,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0022
23,MTR-APK-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-01-26,16:24:14,2026-01-26 16:24:14,5009.34,INR,-5009.34,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0023 | Venue | 5009.34,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0023
24,MTR-APK-0024,Business,Business,Business Runway,Funding,Income,2025-11-06,15:46:33,2025-11-06 15:46:33,23613.48,INR,23613.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 23613.48,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0024
25,MTR-APK-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2026-08-01,08:02:16,2026-08-01 08:02:16,1624.6,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 1624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0025
26,MTR-APK-0026,Group,Shared Experience,Wedding,Catering,Expense,2025-10-06,09:51:58,2025-10-06 09:51:58,9013.12,INR,-9013.12,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0026 | Catering | 9013.12,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0026
27,MTR-APK-0027,Business,Business,Business Runway,Revenue,Income,2026-05-25,13:21:34,2026-05-25 13:21:34,109992.93,INR,109992.93,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 109992.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0027
28,MTR-APK-0028,Personal,Personal,Future Building,Investments,Investment,2026-05-17,16:50:35,2026-05-17 16:50:35,11208.9,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0028 | Investments | 11208.90,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0028
29,MTR-APK-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-02-08,17:00:05,2026-02-08 17:00:05,29739.05,INR,-29739.05,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0029 | Decor | 29739.05,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0029
30,MTR-APK-0030,Business,Business,Business Runway,Burn,Expense,2026-07-12,00:27:21,2026-07-12 00:27:21,140589.77,INR,-140589.77,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 140589.77,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0030
31,MTR-APK-0031,Personal,Personal,Future Building,Education,Expense,2025-09-01,20:51:38,2025-09-01 20:51:38,4377.59,INR,-4377.59,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0031 | Education | 4377.59,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0031
32,MTR-APK-0032,Group,Shared Experience,Wedding,Travel,Expense,2026-05-07,14:25:02,2026-05-07 14:25:02,17383.47,INR,-17383.47,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-WEDDING-0032 | Travel | 17383.47,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0032
33,MTR-APK-0033,Business,Business,Business Runway,Reserve,Transfer,2026-08-22,00:20:13,2026-08-22 00:20:13,74089.67,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 74089.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0033
34,MTR-APK-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-02-16,18:28:10,2026-02-16 18:28:10,15043.4,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 15043.40,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0034
35,MTR-APK-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-03,12:53:45,2025-11-03 12:53:45,11051.76,INR,-11051.76,APK Meera,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0035 | Gifts | 11051.76,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0035
36,MTR-APK-0036,Business,Business,Business Runway,Loan,Income,2025-11-02,18:03:39,2025-11-02 18:03:39,127583.08,INR,127583.08,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 127583.08,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0036
37,MTR-APK-0037,Personal,Personal,Lifestyle,Dining,Expense,2025-12-12,15:37:13,2025-12-12 15:37:13,1.0,INR,-1.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0037
38,MTR-APK-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-05-27,04:31:44,2026-05-27 04:31:44,2512.06,INR,-2512.06,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0038 | Photography | 2512.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0038
39,MTR-APK-0039,Business,Business,Business Runway,Investment,Income,2026-01-07,00:33:30,2026-01-07 00:33:30,173716.92,INR,173716.92,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 173716.92,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0039
40,MTR-APK-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-05-18,11:59:38,2026-05-18 11:59:38,11815.79,INR,-11815.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0040 | Shopping | 11815.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0040
41,MTR-APK-0041,Group,Shared Experience,Wedding,Other,Expense,2025-12-09,11:54:56,2025-12-09 11:54:56,24454.65,INR,-24454.65,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0041 | Other | 24454.65,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0041
42,MTR-APK-0042,Business,Business,Business Operations,Software,Expense,2026-07-31,20:59:50,2026-07-31 20:59:50,94837.63,INR,-94837.63,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 94837.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0042
43,MTR-APK-0043,Personal,Personal,Lifestyle,Entertainment,Expense,2026-05-03,17:13:45,2026-05-03 17:13:45,7994.28,INR,-7994.28,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0043 | Entertainment | 7994.28,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0043
44,MTR-APK-0044,Group,Shared Experience,Office Outing,Food,Expense,2026-06-20,04:38:35,2026-06-20 04:38:35,14815.69,INR,-14815.69,APK Meera,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0044 | Food | 14815.69,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0044
45,MTR-APK-0045,Business,Business,Business Operations,Rent,Expense,2026-04-19,14:18:48,2026-04-19 14:18:48,5270.11,INR,-5270.11,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 5270.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0045
46,MTR-APK-0046,Personal,Personal,Lifestyle,Travel,Expense,2026-08-29,11:21:48,2026-08-29 11:21:48,7775.49,INR,-7775.49,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0046 | Travel | 7775.49,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0046
47,MTR-APK-0047,Group,Shared Experience,Office Outing,Travel,Expense,2025-11-05,13:23:38,2025-11-05 13:23:38,11627.17,INR,-11627.17,APK Owner,3,SHARES,MAESTRO-APK-GROUP-OFFICE_OUTING-0047 | Travel | 11627.17,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0047
48,MTR-APK-0048,Business,Business,Business Operations,Marketing,Expense,2026-01-20,04:43:33,2026-01-20 04:43:33,2624.6,INR,-2624.6,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 2624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0048
49,MTR-APK-0049,Personal,Personal,Lifestyle,Fitness,Expense,2026-03-02,02:43:25,2026-03-02 02:43:25,5113.0,INR,-5113.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0049 | Fitness | 5113.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0049
50,MTR-APK-0050,Group,Shared Experience,Office Outing,Activities,Expense,2026-06-04,20:06:57,2026-06-04 20:06:57,6311.85,INR,-6311.85,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-OFFICE_OUTING-0050 | Activities | 6311.85,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0050
51,MTR-APK-0051,Business,Business,Business Operations,Legal,Expense,2026-08-22,20:48:43,2026-08-22 20:48:43,107443.48,INR,-107443.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 107443.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0051
52,MTR-APK-0052,Personal,Personal,Lifestyle,Hobbies,Expense,2025-10-15,16:58:28,2025-10-15 16:58:28,7665.21,INR,-7665.21,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0052 | Hobbies | 7665.21,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0052
53,MTR-APK-0053,Group,Shared Experience,Office Outing,Venue,Expense,2025-09-26,11:34:01,2025-09-26 11:34:01,11630.08,INR,-11630.08,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-OFFICE_OUTING-0053 | Venue | 11630.08,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0053
54,MTR-APK-0054,Business,Business,Business Operations,Accounting,Expense,2025-12-22,02:58:38,2025-12-22 02:58:38,110391.35,INR,-110391.35,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 110391.35,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0054
55,MTR-APK-0055,Personal,Personal,Relationships,Gifts,Expense,2026-04-24,08:21:19,2026-04-24 08:21:19,15569.83,INR,-15569.83,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0055 | Gifts | 15569.83,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0055
56,MTR-APK-0056,Group,Shared Experience,Office Outing,Other,Expense,2026-06-16,13:55:36,2026-06-16 13:55:36,22985.03,INR,-22985.03,APK Owner,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0056 | Other | 22985.03,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0056
57,MTR-APK-0057,Business,Business,Business Operations,Equipment,Expense,2026-01-13,17:57:32,2026-01-13 17:57:32,109239.85,INR,-109239.85,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 109239.85,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0057
58,MTR-APK-0058,Personal,Personal,Relationships,Dates,Expense,2026-08-06,13:20:58,2026-08-06 13:20:58,6870.56,INR,-6870.56,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0058 | Dates | 6870.56,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0058
59,MTR-APK-0059,Group,Shared Experience,House Party,Food,Expense,2026-07-04,00:12:17,2026-07-04 00:12:17,12820.18,INR,-12820.18,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0059 | Food | 12820.18,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0059
60,MTR-APK-0060,Business,Business,Business Operations,Vendor,Expense,2026-03-28,17:15:52,2026-03-28 17:15:52,131027.34,INR,-131027.34,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 131027.34,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0060
61,MTR-APK-0061,Personal,Personal,Relationships,Family,Expense,2025-11-18,01:41:56,2025-11-18 01:41:56,18879.6,INR,-18879.6,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0061 | Family | 18879.60,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0061
62,MTR-APK-0062,Group,Shared Experience,House Party,Drinks,Expense,2026-01-02,05:45:12,2026-01-02 05:45:12,4283.14,INR,-4283.14,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-HOUSE_PARTY-0062 | Drinks | 4283.14,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0062
63,MTR-APK-0063,Business,Business,Business Operations,Tax,Expense,2026-04-27,07:47:25,2026-04-27 07:47:25,95718.07,INR,-95718.07,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 95718.07,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0063
64,MTR-APK-0064,Personal,Personal,Relationships,Friends,Expense,2025-10-05,14:26:43,2025-10-05 14:26:43,9170.48,INR,-9170.48,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0064 | Friends | 9170.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0064
65,MTR-APK-0065,Group,Shared Experience,House Party,Decor,Expense,2026-03-19,07:18:10,2026-03-19 07:18:10,29301.22,INR,-29301.22,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0065 | Decor | 29301.22,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0065
66,MTR-APK-0066,Business,Business,Team Operations,Payroll,Expense,2025-10-31,18:45:19,2025-10-31 18:45:19,23122.72,INR,-23122.72,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 23122.72,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0066
67,MTR-APK-0067,Personal,Personal,Relationships,Celebrations,Expense,2026-04-05,02:10:13,2026-04-05 02:10:13,16346.55,INR,-16346.55,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 16346.55,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0067
68,MTR-APK-0068,Group,Shared Experience,House Party,Supplies,Expense,2025-09-07,18:52:07,2025-09-07 18:52:07,28184.27,INR,-28184.27,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-HOUSE_PARTY-0068 | Supplies | 28184.27,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0068
69,MTR-APK-0069,Business,Business,Team Operations,Contractor,Expense,2026-05-13,17:27:47,2026-05-13 17:27:47,120446.8,INR,-120446.8,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 120446.80,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0069
70,MTR-APK-0070,Personal,Personal,Life Operations,Groceries,Expense,2025-09-24,05:11:22,2025-09-24 05:11:22,10067.64,INR,-10067.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 10067.64,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0070
71,MTR-APK-0071,Group,Shared Experience,House Party,Other,Expense,2026-01-23,14:50:12,2026-01-23 14:50:12,20798.48,INR,-20798.48,APK Meera,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0071 | Other | 20798.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0071
72,MTR-APK-0072,Business,Business,Team Operations,Hiring,Expense,2026-07-13,01:10:33,2026-07-13 01:10:33,67719.91,INR,-67719.91,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 67719.91,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0072
73,MTR-APK-0073,Personal,Personal,Life Operations,Rent,Expense,2025-11-15,18:17:10,2025-11-15 18:17:10,5337.02,INR,-5337.02,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 5337.02,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0073
74,MTR-APK-0074,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-02-12,14:57:31,2026-02-12 14:57:31,99.99,INR,99.99,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-GIFT_POOL-0074 | Contribution | 99.99,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0074
75,MTR-APK-0075,Business,Business,Team Operations,Team Meal,Expense,2026-02-28,18:14:55,2026-02-28 18:14:55,65179.98,INR,-65179.98,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 65179.98,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0075
76,MTR-APK-0076,Personal,Personal,Life Operations,Bills,Expense,2026-05-18,21:24:04,2026-05-18 21:24:04,4157.82,INR,-4157.82,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 4157.82,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0076
77,MTR-APK-0077,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-12-09,16:37:01,2025-12-09 16:37:01,6564.16,INR,-6564.16,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-GIFT_POOL-0077 | Gift Purchase | 6564.16,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0077
78,MTR-APK-0078,Business,Business,Team Operations,Travel,Expense,2026-02-01,08:52:19,2026-02-01 08:52:19,115262.49,INR,-115262.49,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 115262.49,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0078
79,MTR-APK-0079,Personal,Personal,Life Operations,Transport,Expense,2026-04-08,18:02:20,2026-04-08 18:02:20,13324.17,INR,-13324.17,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 13324.17,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0079
80,MTR-APK-0080,Group,Shared Purchase,Gift Pool,Delivery,Expense,2025-12-23,01:40:13,2025-12-23 01:40:13,14120.63,INR,-14120.63,APK Meera,3,EXACT,MAESTRO-APK-GROUP-GIFT_POOL-0080 | Delivery | 14120.63,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0080
81,MTR-APK-0081,Business,Business,Team Operations,Training,Expense,2026-08-15,04:07:15,2026-08-15 04:07:15,32182.44,INR,-32182.44,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0081 | Training | 32182.44,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0081
82,MTR-APK-0082,Personal,Personal,Life Operations,Healthcare,Expense,2026-08-10,09:13:32,2026-08-10 09:13:32,3299.5,INR,-3299.5,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 3299.50,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0082
83,MTR-APK-0083,Group,Shared Purchase,Gift Pool,Other,Expense,2026-07-01,04:07:46,2026-07-01 04:07:46,29651.68,INR,-29651.68,APK Owner,3,SHARES,MAESTRO-APK-GROUP-GIFT_POOL-0083 | Other | 29651.68,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0083
84,MTR-APK-0084,Business,Business,Team Operations,Tools,Expense,2026-03-17,05:28:56,2026-03-17 05:28:56,152613.88,INR,-152613.88,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 152613.88,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0084
