Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
36,MTR-APK-0036,Business,Business,Business Runway,Loan,Income,2025-11-02,18:03:39,2025-11-02 18:03:39,127583.08,INR,127583.08,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 127583.08,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0036,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 127583.08,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
39,MTR-APK-0039,Business,Business,Business Runway,Investment,Income,2026-01-07,00:33:30,2026-01-07 00:33:30,173716.92,INR,173716.92,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 173716.92,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0039,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 173716.92,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
42,MTR-APK-0042,Business,Business,Business Operations,Software,Expense,2026-07-31,20:59:50,2026-07-31 20:59:50,94837.63,INR,-94837.63,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 94837.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0042,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 94837.63,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
45,MTR-APK-0045,Business,Business,Business Operations,Rent,Expense,2026-04-19,14:18:48,2026-04-19 14:18:48,5270.11,INR,-5270.11,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 5270.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0045,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 5270.11,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
48,MTR-APK-0048,Business,Business,Business Operations,Marketing,Expense,2026-01-20,04:43:33,2026-01-20 04:43:33,2624.6,INR,-2624.6,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 2624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0048,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 2624.60,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
51,MTR-APK-0051,Business,Business,Business Operations,Legal,Expense,2026-08-22,20:48:43,2026-08-22 20:48:43,107443.48,INR,-107443.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 107443.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0051,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 107443.48,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
54,MTR-APK-0054,Business,Business,Business Operations,Accounting,Expense,2025-12-22,02:58:38,2025-12-22 02:58:38,110391.35,INR,-110391.35,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 110391.35,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0054,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 110391.35,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
57,MTR-APK-0057,Business,Business,Business Operations,Equipment,Expense,2026-01-13,17:57:32,2026-01-13 17:57:32,109239.85,INR,-109239.85,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 109239.85,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0057,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 109239.85,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
60,MTR-APK-0060,Business,Business,Business Operations,Vendor,Expense,2026-03-28,17:15:52,2026-03-28 17:15:52,131027.34,INR,-131027.34,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 131027.34,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0060,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 131027.34,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
63,MTR-APK-0063,Business,Business,Business Operations,Tax,Expense,2026-04-27,07:47:25,2026-04-27 07:47:25,95718.07,INR,-95718.07,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 95718.07,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0063,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 95718.07,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
66,MTR-APK-0066,Business,Business,Team Operations,Payroll,Expense,2025-10-31,18:45:19,2025-10-31 18:45:19,23122.72,INR,-23122.72,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 23122.72,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0066,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 23122.72,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
69,MTR-APK-0069,Business,Business,Team Operations,Contractor,Expense,2026-05-13,17:27:47,2026-05-13 17:27:47,120446.8,INR,-120446.8,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 120446.80,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0069,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 120446.80,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
72,MTR-APK-0072,Business,Business,Team Operations,Hiring,Expense,2026-07-13,01:10:33,2026-07-13 01:10:33,67719.91,INR,-67719.91,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 67719.91,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0072,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 67719.91,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
75,MTR-APK-0075,Business,Business,Team Operations,Team Meal,Expense,2026-02-28,18:14:55,2026-02-28 18:14:55,65179.98,INR,-65179.98,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 65179.98,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0075,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 65179.98,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
78,MTR-APK-0078,Business,Business,Team Operations,Travel,Expense,2026-02-01,08:52:19,2026-02-01 08:52:19,115262.49,INR,-115262.49,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 115262.49,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0078,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 115262.49,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
81,MTR-APK-0081,Business,Business,Team Operations,Training,Expense,2026-08-15,04:07:15,2026-08-15 04:07:15,32182.44,INR,-32182.44,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0081 | Training | 32182.44,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0081,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0081 | Training | 32182.44,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
84,MTR-APK-0084,Business,Business,Team Operations,Tools,Expense,2026-03-17,05:28:56,2026-03-17 05:28:56,152613.88,INR,-152613.88,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 152613.88,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0084,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 152613.88,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
87,MTR-APK-0087,Business,Business,Business Runway,Funding,Income,2026-04-06,07:00:13,2026-04-06 07:00:13,158770.17,INR,158770.17,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0087 | Funding | 158770.17,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0087,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0087 | Funding | 158770.17,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
90,MTR-APK-0090,Business,Business,Business Runway,Revenue,Income,2026-07-02,23:20:52,2026-07-02 23:20:52,45774.39,INR,45774.39,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0090 | Revenue | 45774.39,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0090,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0090 | Revenue | 45774.39,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
93,MTR-APK-0093,Business,Business,Business Runway,Burn,Expense,2025-12-23,01:34:08,2025-12-23 01:34:08,140443.67,INR,-140443.67,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0093 | Burn | 140443.67,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0093,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0093 | Burn | 140443.67,JOINED,Runway Log Expense
96,MTR-APK-0096,Business,Business,Business Runway,Reserve,Transfer,2026-01-16,03:32:21,2026-01-16 03:32:21,17759.52,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0096 | Reserve | 17759.52,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0096,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0096 | Reserve | 17759.52,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
99,MTR-APK-0099,Business,Business,Business Runway,Loan,Income,2026-06-19,08:25:07,2026-06-19 08:25:07,33444.89,INR,33444.89,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0099 | Loan | 33444.89,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0099,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0099 | Loan | 33444.89,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
102,MTR-APK-0102,Business,Business,Business Runway,Investment,Income,2026-07-04,08:55:03,2026-07-04 08:55:03,54834.4,INR,54834.4,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0102 | Investment | 54834.40,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0102,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0102 | Investment | 54834.40,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
105,MTR-APK-0105,Business,Business,Business Operations,Software,Expense,2026-02-03,11:46:48,2026-02-03 11:46:48,21375.77,INR,-21375.77,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0105 | Software | 21375.77,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0105,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0105 | Software | 21375.77,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
108,MTR-APK-0108,Business,Business,Business Operations,Rent,Expense,2025-09-20,22:02:36,2025-09-20 22:02:36,158994.59,INR,-158994.59,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0108 | Rent | 158994.59,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0108,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0108 | Rent | 158994.59,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
111,MTR-APK-0111,Business,Business,Business Operations,Marketing,Expense,2026-02-04,14:26:37,2026-02-04 14:26:37,100.0,INR,-100.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0111 | Marketing | 100.00,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0111,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0111 | Marketing | 100.00,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
114,MTR-APK-0114,Business,Business,Business Operations,Legal,Expense,2025-12-06,08:07:41,2025-12-06 08:07:41,155336.59,INR,-155336.59,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0114 | Legal | 155336.59,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0114,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0114 | Legal | 155336.59,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
117,MTR-APK-0117,Business,Business,Business Operations,Accounting,Expense,2026-02-02,03:03:18,2026-02-02 03:03:18,42150.33,INR,-42150.33,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0117 | Accounting | 42150.33,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0117,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0117 | Accounting | 42150.33,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
120,MTR-APK-0120,Business,Business,Business Operations,Equipment,Expense,2025-11-13,11:28:31,2025-11-13 11:28:31,126732.22,INR,-126732.22,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0120 | Equipment | 126732.22,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0120,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0120 | Equipment | 126732.22,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
123,MTR-APK-0123,Business,Business,Business Operations,Vendor,Expense,2026-01-30,11:40:38,2026-01-30 11:40:38,38992.21,INR,-38992.21,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0123 | Vendor | 38992.21,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0123,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0123 | Vendor | 38992.21,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
126,MTR-APK-0126,Business,Business,Business Operations,Tax,Expense,2025-12-31,23:31:24,2025-12-31 23:31:24,64813.64,INR,-64813.64,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0126 | Tax | 64813.64,Android,B03,BASELINE_1_500,CREATED,idem-20260902-apk-0126,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0126 | Tax | 64813.64,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
