moment_family,moment_subtype,mapping_batch,group_moment_type,screen_id,figma_screen,figma_node,widget_id,figma_widget,widget_type,ui_label,field,table_column,supporting_tables,api_read,api_write,api_contract_excel,excel_mapping_status,android_binding,ios_binding,projection,gx2_status,closure_priority,notes
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W016,Budget,Numeric / Financial Display or Input,Budget,budget_id; scope_type; scope_id; moment_id; currency_code; amount; status; version,finance.budget :: budget_id; scope_type; scope_id; moment_id; currency_code; amount; status; version,N/A,,,Budget command route not explicitly frozen,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,CLIENT_FIX,P1,"Budget canonical exists, but dedicated budget mutation route/DTO is not explicitly listed in the supplied API freeze."
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W017,Currency,Selector / Status Control,Currency,currency_code,finance.budget :: currency_code,N/A,,,Budget command route not explicitly frozen,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,CLIENT_FIX,P1,Canonical field exists; explicit budget configuration command contract is not frozen.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W018,Multi-currency,Toggle / Preference Control,Multi-currency,N/A,N/A :: N/A,N/A,,,,GAP,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,DEFERRED,P0,No explicit canonical boolean/preference field for multi-currency is present in supplied schema. Do not hide in ad-hoc metadata.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W019,Payment Rhythm,Selector / Status Control,Payment rhythm,N/A,N/A :: N/A,N/A,,,,GAP,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,P0,No explicit canonical payment-rhythm field found in supplied Group/Finance schema.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W020,Participants,Participant / Member Control,Participants,participant_id; moment_id; user_id; external_party_id; participant_role; status; invited_at; joined_at; version,collaboration.moment_participant :: participant_id; moment_id; user_id; external_party_id; participant_role; status; invited_at; joined_at; version,core.external_party,,,TBD explicit participant/invite /v1 route,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,CLIENT_FIX,P0/P1,Canonical tables exist; explicit participant/invite command route is a G-M0 contract gap.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W021,Invite another person,CTA / Action Control,+ Invite another person,moment_id; user_id/external_party_id; participant_role; status; invited_at,collaboration.moment_participant + core.external_party :: moment_id; user_id/external_party_id; participant_role; status; invited_at,N/A,,TBD explicit participant/invite /v1 route,TBD explicit participant/invite /v1 route,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,CLIENT_FIX,P0/P1,Invite API contract not frozen.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W022,Join Approval,Selector / Status Control,Join approval,policy_id; policy_family; status | policy_version.definition; decision_precedence; status,governance.policy + governance.policy_version :: policy_id; policy_family; status | policy_version.definition; decision_precedence; status,governance.role_assignment; governance.permission,,,TBD governance/configuration command,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,P0,Governance objects exist but exact policy code/field binding for Join Approval is not frozen.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W023,Expense Reminders,Toggle / Preference Control,Expense reminders,N/A,N/A :: N/A,N/A,,,,GAP,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,P1,No explicit canonical field for expense reminders exists in supplied schema.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W024,Photo Reminders,Toggle / Preference Control,Photo reminders,N/A,N/A :: N/A,N/A,,,,GAP,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,LOCAL_ONLY,P1,No explicit canonical field for photo reminders exists in supplied schema.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W025,Experience Summary - Name,Summary Display,Experience,core.moment.title,core.moment :: core.moment.title,N/A,GET /v1/moments/:momentId,,GET /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W026,Experience Summary - Dates,Summary Display,Dates,core.moment.start_at; core.moment.end_at,core.moment :: core.moment.start_at; core.moment.end_at,N/A,GET /v1/moments/:momentId,,GET /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W027,Experience Summary - Budget,Summary Display,Budget,budget_id; scope_type; scope_id; moment_id; currency_code; amount; status; version,finance.budget :: budget_id; scope_type; scope_id; moment_id; currency_code; amount; status; version,N/A,GET /v1/group/moments/:momentId/finance,,GET /v1/group/moments/:momentId/finance,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,Read from finance projection/canonical setup state.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W028,Setup Progress,Progress Display,3 sections configured,Required setup fields across canonicals,core.moment + collaboration.shared_experience_context + finance.budget + collaboration.moment_participant :: Required setup fields across canonicals,N/A,,,No dedicated read contract,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,CLIENT_FIX,P1,No explicit server-side setup-completeness projection/contract is frozen.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W029,Activation Ready Status,Status Display,Your shared experience is ready,user_id; resource_type; resource_id; capability_code; action_code; availability_status; reason_code; requires_confirmation; requires_approval; expires_at; projection_version,projection.available_action :: user_id; resource_type; resource_id; capability_code; action_code; availability_status; reason_code; requires_confirmation; requires_approval; expires_at; projection_version,core.moment_type_capability; governance.role_assignment; governance.role_permission; governance.policy*,GET /v1/group/moments/:momentId/actions,,GET /v1/group/moments/:momentId/actions,PARTIAL,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,projection.available_action,CLIENT_FIX,P1,Exact activation action_code/readiness contract is not explicitly named in supplied freeze.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W030,Activate Experience,CTA / Action Control,Activate Shared Experience,core.moment.status; version | context.status; version,core.moment + collaboration.group_moment_context + collaboration.shared_experience_context :: core.moment.status; version | context.status; version,N/A,,PATCH /v1/moments/:momentId,PATCH /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,GENERIC,G-M1 Shared Experience,Shared Experience — Generic,GRP-SE-GEN-S01,Shared Experience Setup,575:9761,GRP-SE-GEN-S01-W031,Privacy Badge,Status / Preference Display,Private by default • Change anytime,visibility,core.moment :: visibility,N/A,GET /v1/moments/:momentId,,GET /v1/moments/:momentId,MAPPED,GroupExperienceSetupContent / GroupSectionSetupContent,GroupExperienceSetupView / GroupSectionSetupView,,WIRED,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W001,Life 360,Navigation Action,360,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W002,Moments Shortcut,Navigation Action,Moments,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W003,Profile Avatar,Profile / Account Control,SM,user_id; display_name; email; timezone; locale; status,core.user_profile :: user_id; display_name; email; timezone; locale; status,N/A,GET /v1/me,,GET /v1/me,MAPPED,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,WIRED,N/A,Only profile data is backend-backed; surrounding avatar interaction is local.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W004,Personal Context Tab,Context Selector,Personal,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W005,Group Context Tab,Context Selector,Group,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W006,Business Context Tab,Context Selector,Business,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W007,Circle Context Tab,Context Selector,Circle,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W008,Active Moment Selector,Moment Selector,Goa Reunion,core.moment: moment_id; title; description; status; visibility; start_at; end_at; timezone; version | shared_experience_context: experience_kind; destination_text; venue_text; start_at; end_at; status,core.moment + collaboration.shared_experience_context :: core.moment: moment_id; title; description; status; visibility; start_at; end_at; timezone; version | shared_experience_context: experience_kind; destination_text; venue_text; start_at; end_at; status,N/A,GET /v1/moments/:momentId,,GET /v1/moments/:momentId,MAPPED,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,WIRED,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W009,Moment Settings,Navigation Action,Settings,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W010,Hero Header,Hero / Context Card,Goa Reunion · Trip/Vacation · 5 Friends,core.moment: moment_id; title; description; status; visibility; start_at; end_at; timezone; version | shared_experience_context: experience_kind; destination_text; venue_text; start_at; end_at; status,core.moment + collaboration.shared_experience_context :: core.moment: moment_id; title; description; status; visibility; start_at; end_at; timezone; version | shared_experience_context: experience_kind; destination_text; venue_text; start_at; end_at; status,N/A,GET /v1/moments/:momentId,,GET /v1/moments/:momentId,MAPPED,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,WIRED,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W011,Countdown,Status / Countdown,4 months away,moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,projection.group_pulse :: moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,analytics.metric_current; analytics.attention_item; work.task; collaboration.moment_participant; finance.*,GET /v1/group/moments/:momentId/pulse,,GET /v1/group/moments/:momentId/pulse,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_pulse,CLIENT_FIX,P1,Exact widget_payload schema is not frozen for every Pulse widget; map explicit top-level fields directly and payload-only values as PARTIAL.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W012,Photos Quick Action,Quick Action,Photos,N/A,N/A :: N/A,N/A,,,,STATIC,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,LOCAL_ONLY,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W013,Chat Quick Action,Quick Action,Chat,N/A,N/A :: N/A,N/A,,,,GAP,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,,DEFERRED,P1,No canonical chat/message object or frozen chat API was identified in G-M0 source pack.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W014,Itinerary Quick Action,Quick Action,Itinerary,planning_payload; projection_version,projection.group_life :: planning_payload; projection_version,collaboration.planning_item; collaboration.booking,GET /v1/group/moments/:momentId/life,,GET /v1/group/moments/:momentId/life,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_life,CLIENT_FIX,P1,Exact itinerary payload schema is not separately frozen.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W015,Splits Quick Action,Quick Action,Splits,moment_id; currency_code; expense_total; outstanding_total; participant positions,projection.group_finance_snapshot + projection.group_finance_position :: moment_id; currency_code; expense_total; outstanding_total; participant positions,N/A,GET /v1/group/moments/:momentId/finance,,GET /v1/group/moments/:momentId/finance,MAPPED,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_finance_snapshot + projection.group_finance_position,WIRED,N/A,No backend field mapping required.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W016,Group Pulse Card,Pulse / Health Card,Group Pulse,moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,projection.group_pulse :: moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,analytics.metric_current; analytics.attention_item; work.task; collaboration.moment_participant; finance.*,GET /v1/group/moments/:momentId/pulse,,GET /v1/group/moments/:momentId/pulse,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_pulse,CLIENT_FIX,P1,Exact widget_payload schema is not frozen for every Pulse widget; map explicit top-level fields directly and payload-only values as PARTIAL.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W017,Activity Rate,Pulse Metric,74% Activity,moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,projection.group_pulse :: moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,analytics.metric_current; analytics.attention_item; work.task; collaboration.moment_participant; finance.*,GET /v1/group/moments/:momentId/pulse,,GET /v1/group/moments/:momentId/pulse,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_pulse,CLIENT_FIX,P1,Exact widget_payload schema is not frozen for every Pulse widget; map explicit top-level fields directly and payload-only values as PARTIAL.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W018,Replies Metric,Pulse Metric,8 Replies,moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,projection.group_pulse :: moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,analytics.metric_current; analytics.attention_item; work.task; collaboration.moment_participant; finance.*,GET /v1/group/moments/:momentId/pulse,,GET /v1/group/moments/:momentId/pulse,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_pulse,CLIENT_FIX,P1,Exact widget_payload schema is not frozen for every Pulse widget; map explicit top-level fields directly and payload-only values as PARTIAL.
Shared Experience,TRIP,G-M1 Shared Experience,Shared Experience — Trip,GRP-SE-TRP-S01,Experience Pulse,575:14165,GRP-SE-TRP-S01-W019,Trend Metric,Pulse Metric,Trending Up,moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,projection.group_pulse :: moment_id; participant_count; attention_count; task_open_count; budget_utilization; contribution_completion; latest_ai_insight_id; widget_payload; projection_version; updated_at,analytics.metric_current; analytics.attention_item; work.task; collaboration.moment_participant; finance.*,GET /v1/group/moments/:momentId/pulse,,GET /v1/group/moments/:momentId/pulse,PARTIAL,GroupPulseActiveContent / WeddingPulseActiveContent,GroupPulseActiveView / WeddingPulseActiveView,projection.group_pulse,CLIENT_FIX,P1,Exact widget_payload schema is not frozen for every Pulse widget; map explicit top-level fields directly and payload-only values as PARTIAL.
