family,batch,moment_type,screen_id,screen_name,figma_node,widget_id,widget_name,widget_type,data_behaviour,data_requirement,source_type,api_contract,final_api,canonical,live_route,join_status,notes,closure_theme,implementation_status
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W07,Open Items Count,KPI,Canonical/projection read,Attention items,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.attention_count,GET /v1/business/moments/:id/pulse,WIRED,B2 attention_count,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W08,Workload by Department,Heatmap,Canonical requirement not fully supported,Department intensity grid,CANONICAL / CONTRACT GAP,GET /v1/business/moments/:momentId/pulse,TeamOperations.Workload — route TBD,analytics.metric_current / team workload projection,,DEFERRED,No workload API — honest empty heatmap,CL-29,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W09,Department Heatmap Row,List Row,Canonical requirement not fully supported,Per-dept daily intensity,CANONICAL / CONTRACT GAP,GET /v1/business/moments/:momentId/pulse,TeamOperations.Workload — route TBD,business.team + analytics.metric_observation,,DEFERRED,Placeholder rows until workload writer,CL-29,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W10,Needs Attention Count,KPI,Canonical/projection read,Attention badge,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,projection.business_pulse.attention_count,GET /v1/business/moments/:id/pulse,WIRED,Attention section badge,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W11,Attention Item Card,Alert Card,Canonical/derived mapping with unresolved contract detail,Recent attention event,PROJECTION / CANONICAL,GET /v1/moments/:momentId/activity?cursor=&limit=,GET /v1/moments/:momentId/activity,projection.recent_activity,GET /v1/business/moments/:id/activity,WIRED,Activity fallback for attention cards,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W12,Recent Delivery,Timeline,Canonical requirement not fully supported,Delivery log timeline,CANONICAL / CONTRACT GAP,GET /v1/moments/:momentId/activity?cursor=&limit=,TeamOperations.Delivery.List — route TBD,projection.recent_activity / business.delivery,GET /v1/business/moments/:id/activity,WIRED,Uses activity until delivery API exists,CL-40,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W13,Delivery Period Filter,Filter,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W14,Team Intelligence,AI Insight Group,Canonical/derived mapping with unresolved contract detail,AI team insights,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/pulse,GET /v1/business/moments/:momentId/pulse,ai.ai_insight,,DEFERRED,Team intelligence deferred — honest empty,CL-29,DEFERRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT02,Team Operations Pulse,692:34967,B-BT02-W15,Log Delivery,Action,Canonical requirement not fully supported,Records delivery,CANONICAL / CONTRACT GAP,TeamOperations.Delivery.Create — route TBD,business.delivery / business.business_update,,DEFERRED,Delivery writer not mounted — CTA shell,CL-40,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W01,Events Count,KPI,Canonical/derived mapping with unresolved contract detail,Timeline entries,PROJECTION / CANONICAL,GET /v1/moments/:momentId/activity?cursor=&limit=,GET /v1/moments/:momentId/activity,projection.recent_activity + projection.business_moments,GET /v1/business/moments/:id/activity,WIRED,TeamOps Moments stat chip,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W02,Filtered Count,KPI,Local UI / navigation,Client filter count,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,Client-side filter stat,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W03,Pending Count,KPI,Canonical requirement not fully supported,Pending team items,CANONICAL / CONTRACT GAP,GET /v1/business/moments/:momentId/moments,TeamOperations.Pending.List — route TBD,business.issue + governance.approval_request,,DEFERRED,Pending KPI shows — until API exists,CL-40,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W04,Milestones / Decisions / Deliveries Filter,Filter,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,Client-side activity filter,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W05,Team Timeline,Timeline,Canonical/derived mapping with unresolved contract detail,Team activity history,PROJECTION / CANONICAL,GET /v1/moments/:momentId/activity?cursor=&limit=,GET /v1/moments/:momentId/activity,projection.business_moments.card_payload.events,GET /v1/business/moments/:id/activity,WIRED,B2 business_moments timeline,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W06,Event Title,Event Display,Canonical/derived mapping with unresolved contract detail,Identifies event,PROJECTION / CANONICAL,GET /v1/moments/:momentId/activity?cursor=&limit=,GET /v1/moments/:momentId/activity,projection.business_moments,GET /v1/business/moments/:id/activity,WIRED,Activity item title/code,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W07,Event Category Code,Status / Category,Canonical/derived mapping with unresolved contract detail,Classifies event,PROJECTION / CANONICAL,GET /v1/moments/:momentId/activity?cursor=&limit=,GET /v1/moments/:momentId/activity,projection.business_moments,GET /v1/business/moments/:id/activity,WIRED,Activity code chip,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT03,Team Operations Moments,692:35199,B-BT03-W08,Log a Win,CTA,Canonical requirement not fully supported,Records team win,CANONICAL / CONTRACT GAP,TeamOperations.Win.Create — route TBD,POST /v1/moments/:momentId/business-updates,business.business_update,POST /v1/moments/:id/business-updates,WIRED,Win CTA opens update sheet,CL-40,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W01,Memory Scope Filter,Filter,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,Client-side memory filter,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W02,Team Memory Count,KPI,Canonical/projection read,Memory items,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/memory,GET /v1/business/moments/:momentId/memory,projection.business_memory.memory_count,GET /v1/business/moments/:id/memory,WIRED,B2 business_memory items,CL-18,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W03,Success / Risk Memory List,Memory List,Canonical/projection read,Team learnings,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/memory,GET /v1/business/moments/:momentId/memory,projection.business_memory.recent_memory_payload.items,GET /v1/business/moments/:id/memory,WIRED,B2 business_memory items,CL-18,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W04,Playbook Rules,AI Rule List,Canonical/derived mapping with unresolved contract detail,Reusable team rules,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/memory,GET /v1/business/moments/:momentId/memory,memory.pattern + ai.ai_insight,,DEFERRED,Playbook deferred — honest empty,CL-18,DEFERRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W05,Pattern Confidence,Confidence KPI,Canonical/derived mapping with unresolved contract detail,Pattern reliability,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/memory,GET /v1/business/moments/:momentId/memory,memory.pattern,,DEFERRED,Pattern confidence deferred,CL-18,DEFERRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT04,Team Operations Memory,692:35410,B-BT04-W06,Record a Learning,CTA,Canonical write,Adds learning,CANONICAL,Memory.Create — HTTP route TBD,POST /v1/moments/:momentId/business-memory,memory.memory,POST /v1/moments/:id/business-memory,WIRED,TeamOps memory sheet live,CL-18,EXISTING / VERIFY
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT05,Team Operations Life,708:9524,B-BT05-W01,Team Operations Life Section,Section,Canonical/projection read,Team ops life facet,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/life,GET /v1/business/moments/:momentId/life,projection.business_life.team_operations_payload,GET /v1/business/moments/:id/life,WIRED,B2 team_operations_payload projection,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT05,Team Operations Life,708:9524,B-BT05-W02,Status Label,Status,Canonical/projection read,Team ops status,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/life,GET /v1/business/moments/:momentId/life,projection.business_life.team_operations_payload.statusLabel,GET /v1/business/moments/:id/life,WIRED,B2 team_operations_payload field,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT05,Team Operations Life,708:9524,B-BT05-W03,Member Capacity Summary,Summary,Canonical/projection read,Configured capacity,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/life,GET /v1/business/moments/:momentId/life,projection.business_life.team_operations_payload.memberCapacity,GET /v1/business/moments/:id/life,WIRED,From setup prefs via life writer,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT05,Team Operations Life,708:9524,B-BT05-W04,Review Cadence Summary,Summary,Canonical/projection read,Review rhythm,PROJECTION / CANONICAL,GET /v1/business/moments/:momentId/life,GET /v1/business/moments/:momentId/life,projection.business_life.team_operations_payload.reviewCadence,GET /v1/business/moments/:id/life,WIRED,B2 team_operations_payload field,CL-29,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W01,Action Center Hub,Navigation,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,Team Ops hub chrome,—,N/A
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W02,Team Update,Action Card,Canonical write,Posts team update,CANONICAL,POST /v1/moments/:momentId/business-updates,POST /v1/moments/:momentId/business-updates,business.business_update,POST /v1/moments/:id/business-updates,WIRED,TeamOps update sheet live,CL-40,EXISTING / VERIFY
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W03,Decision,Action Card,Canonical write,Logs decision,CANONICAL,POST /v1/moments/:momentId/decisions,POST /v1/moments/:momentId/decisions,business.decision,POST /v1/moments/:id/decisions,WIRED,Live canonical writer POST /decisions,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W04,Blocker,Action Card,Canonical write,Flags blocker,CANONICAL,POST /v1/moments/:momentId/issues,POST /v1/moments/:momentId/issues,business.issue,POST /v1/moments/:id/issues,WIRED,Live canonical writer POST /issues,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W05,Meeting Notes,Action Card,Canonical write,Captures meeting,CANONICAL,POST /v1/moments/:momentId/meeting-records,POST /v1/moments/:momentId/meeting-records,business.meeting_record,POST /v1/moments/:id/meeting-records,WIRED,Live canonical writer POST /meeting-records,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W06,Recognition,Action Card,Canonical write,Celebrates win,CANONICAL,POST /v1/moments/:momentId/recognitions,POST /v1/moments/:momentId/recognitions,business.recognition,POST /v1/moments/:id/recognitions,WIRED,Live canonical writer POST /recognitions,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W07,Approval Request,Action Card,Canonical requirement not fully supported,Routes approval,CANONICAL / CONTRACT GAP,Governance.ApprovalRequest.Create — route TBD,POST /v1/governance/approval-requests,governance.approval_request,POST /v1/moments/:id/approval-requests,WIRED,Approval sheet shell,CL-15,IMPLEMENTATION REQUIRED
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W08,Milestone,Action Card,Canonical write,Marks milestone,CANONICAL,POST /v1/moments/:momentId/milestones,POST /v1/moments/:momentId/milestones,work.milestone,POST /v1/moments/:id/milestones,WIRED,Live canonical writer POST /milestones,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W09,Retrospective,Action Card,Canonical write,Runs retro,CANONICAL,POST /v1/moments/:momentId/retrospectives,POST /v1/moments/:momentId/retrospectives,business.retrospective,POST /v1/moments/:id/retrospectives,WIRED,Live canonical writer POST /retrospectives,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W10,Poll,Action Card,Canonical write,Gathers input,CANONICAL,POST /v1/moments/:momentId/polls,POST /v1/moments/:momentId/polls,governance.poll,POST /v1/moments/:id/polls,WIRED,TeamOps poll sheet live,CL-40,EXISTING / VERIFY
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W11,Save to Memory,Action Card,Canonical write,Captures learning,CANONICAL,Memory.Create — HTTP route TBD,POST /v1/moments/:momentId/business-memory,memory.memory,POST /v1/moments/:id/business-memory,WIRED,TeamOps memory sheet live,CL-18,EXISTING / VERIFY
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W12,Risk Flag,Action Card,Canonical write,Flags risk,CANONICAL,POST /v1/moments/:momentId/risks,POST /v1/moments/:momentId/risks,business.risk,POST /v1/moments/:id/risks,WIRED,Live canonical writer POST /risks,CL-40,REAL_DATA
TEAM_OPS,B-M1 Team Operations,Team Operations,B-BT06,Team Operations Action Center,649:26162,B-BT06-W13,Activity Log,Action Card,Canonical write,Logs activity,CANONICAL,POST /v1/moments/:momentId/activity-log-entries,POST /v1/moments/:momentId/activity-log-entries,business.activity_log_entry,POST /v1/moments/:id/activity-log-entries,WIRED,Live canonical writer POST /activity-log-entries,CL-40,REAL_DATA
