family,domain,screen_id,screen_name,screen_figma_node,widget_id,widget_name,widget_figma_node,parent_section,widget_type,data_behaviour,data_classification,api_command,http_method,live_route,join_status,notes
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W014,Main Pressure,1012:13064,Pressure,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W015,Recovery Window,1012:13071,Pressure,Editable Input,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W016,Check-in Rhythm,1012:13078,Pressure,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W017,Helpful Support,1012:13089,Support & Recovery,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W018,Recovery Style,1012:13096,Support & Recovery,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W019,Energy Anchor,1012:13107,Energy Anchors,Selector / Entity Row,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W020,Add Energy Anchor,1012:13115,Energy Anchors,CTA,Create local editable anchor row; persist with setup save,LOCAL_UI → CANONICAL_WRITE,LifeOperations.Configure,PATCH,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W021,Current Energy,1012:13127,Wellbeing,Dropdown / Selector,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W022,Weekly Reminder,1012:13130,Wellbeing,Toggle,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W023,Stress Check-in,1012:13142,Reflection Preferences,Dropdown / State,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W024,Recovery Check-in,1012:13149,Reflection Preferences,Dropdown / State,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W025,Review Cadence,1012:13156,Reflection Preferences,Editable Dropdown,Form state until submit,CANONICAL_WRITE,LifeOperations.Configure,PATCH,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W026,Summary Life Focus,1012:13167,Life Summary,Summary KPI,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W027,Summary Current Rhythm,1012:13170,Life Summary,Summary KPI,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W028,Summary Energy,1012:13174,Life Summary,Summary KPI,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W029,Today-to-Forward Indicator,1012:13180,Life Summary,Progress / State Indicator,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W030,Setup Completion,1012:13184,Activation,Derived Status,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W031,Life Plan Ready,1012:13186,Activation,State Badge,Read / derived,PROJECTION_READ,Life Operations Setup Read,GET,POST /v1/personal/setups/:code/activate | POST /moments,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W032,Activate Life Operations,1012:13191,Activation,Primary CTA,Create/activate canonical Personal Moment with frozen setup payload,COMMAND,Moment.Create + LifeOperations.Configure,POST,POST /v1/moments + personalSetup,WIRED,Live write + client Quick Add
LO,,PER-LO-S01,Life Operations Setup,353:6809,PER-LO-S01-W033,Privacy Notice,1012:13193,Activation,Informational State,Static informational copy,STATIC,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W001,Life Operations Domain,763:12270,Domain Selector,Navigation Chip,Read / derived,PROJECTION_READ,Personal Context / Domain List,GET,,DEFERRED,Contract TBD/deferred: Personal Context / Domain List
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W002,Future Building Domain,763:12275,Domain Selector,Navigation Chip,Read / derived,PROJECTION_READ,Personal Context / Domain List,GET,,DEFERRED,Contract TBD/deferred: Personal Context / Domain List
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W003,Lifestyle Domain,763:12281,Domain Selector,Navigation Chip,Read / derived,PROJECTION_READ,Personal Context / Domain List,GET,,DEFERRED,Contract TBD/deferred: Personal Context / Domain List
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W004,Personal Settings,763:12285,Domain Selector,Icon CTA,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W005,Wellbeing Score,1009:7477,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W006,Rhythm Status,1009:7481,Hero,Derived Status,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W007,Pulse Date,1009:7483,Hero,Dynamic Display,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W008,Current Streak,1009:7486,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W009,Pressure Hero Score,1009:7489,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W010,Recovery Hero Score,1009:7492,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W011,Discipline Hero Score,1009:7495,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W012,Attention Hero Score,1009:7498,Hero,Derived KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W013,Pressure Status,1009:7502,Quick Stats,KPI Tile,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W014,Recovery Status,1009:7512,Quick Stats,KPI Tile,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W015,Discipline Status,1009:7522,Quick Stats,KPI Tile,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W016,Attention Status,1009:7532,Quick Stats,KPI Tile,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W017,Recovery Momentum,1009:7547,Today's Momentum,Derived Signal,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W018,Pressure Momentum,1009:7551,Today's Momentum,Derived Signal,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W019,Mood Momentum,1009:7555,Today's Momentum,Derived Signal,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W020,Budget Momentum,1009:7559,Today's Momentum,Derived Signal,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W021,Recovery Driver,1009:7567,Helping vs Hurting,Derived Driver,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W022,Consistency Driver,1009:7572,Helping vs Hurting,Derived Driver,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W023,Mood Driver,1009:7577,Helping vs Hurting,Derived Driver,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W024,Pressure Driver,1009:7584,Helping vs Hurting,Derived Driver,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W025,View All Recent Activity,1009:7591,Recent Activity,CTA,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W026,Recovery Recent Activity,1009:7595,Recent Activity,Repeater Row,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W027,Expense Recent Activity,1009:7603,Recent Activity,Repeater Row,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W028,Mood Check-in Activity,1009:7611,Recent Activity,Repeater Row,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W029,Mood Reflection Activity,1009:7619,Recent Activity,Repeater Row,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W030,Money Snapshot Spend,1009:7627,Money Snapshot,Financial KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W031,Primary Bank Balance,1009:7632,Money Snapshot,Financial KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W032,Card Balance,1009:7637,Money Snapshot,Financial KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W033,Cash Wallet Balance,1009:7643,Money Snapshot,Financial KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W034,Utilization,1009:7648,Money Snapshot,Financial KPI,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W035,Smart Nudge,1009:7653,Smart Nudge,Recommendation,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W036,Stress Impact,1009:7660,Smart Nudge,Derived Forecast,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W037,Capacity Boost,1009:7662,Smart Nudge,Derived Forecast,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W038,Log Recovery Now,1009:7664,Smart Nudge,CTA,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W039,AI Insights Availability,1009:7671,AI Insights,State Badge,Read / derived,PROJECTION_READ,Personal Pulse Read,GET,GET /v1/personal/pulse,WIRED,Live read + client consume
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W040,Recovery Quick Action,1009:7675,Quick Actions,Action Button,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W041,Attention Quick Action,1009:7675,Quick Actions,Action Button,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W042,Mood Quick Action,1009:7675,Quick Actions,Action Button,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W043,Money Quick Action,1009:7675,Quick Actions,Action Button,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W044,Adjust Quick Action,1009:7675,Quick Actions,Action Button,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W045,Expense FAB,1035:7751,Floating Action,Floating CTA,Availability-aware action launch,PROJECTION_READ + LOCAL_UI,Personal Available Actions,GET,,DEFERRED,Contract TBD/deferred: Personal Available Actions
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W046,Pulse Navigation,778:5458,Bottom Navigation,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W047,Moments Navigation,778:5458,Bottom Navigation,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W048,Quick Adds Navigation,778:5458,Bottom Navigation,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W049,Life Navigation,778:5458,Bottom Navigation,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S02,Life Operations Pulse,353:8893,PER-LO-S02-W050,Memory Navigation,778:5458,Bottom Navigation,Navigation Tab,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W001,Entries Today,424:4926,Header,Dynamic Badge,Read / derived,PROJECTION_READ,Personal Runtime Summary,GET,LIVE_READ_FAMILY,WIRED,Live read + client consume
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W002,Close Attention,424:4929,Header,CTA,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W003,Work Category,499:6372,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W004,Family Category,499:6375,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W005,Health Category,499:6379,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W006,Creative Category,499:6382,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W007,Learning Category,499:6386,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W008,Finance Category,499:6389,Attention Category,Selection Control,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W009,Light Intensity,499:6399,Intensity,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W010,Moderate Intensity,499:6401,Intensity,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W011,Heavy Intensity,499:6403,Intensity,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W012,Morning,499:6408,Time of Day,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W013,Afternoon,499:6410,Time of Day,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W014,Evening,499:6412,Time of Day,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W015,Night,499:6414,Time of Day,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W016,Energy Remaining,499:6417,Energy Level,Rating / Input,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S03,Attention,353:11361,PER-LO-S03-W017,Save Attention,353:11406,Footer,Primary CTA,Validate selected category/intensity/time/energy; persist one canonical capture,COMMAND,LifeOperations.RecordAttention,POST,POST /v1/moments/:id/attention-captures | GET /v1/personal/attention,WIRED,Live write + client Quick Add
LO,,PER-LO-S04,Recovery,353:11408,PER-LO-S04-W001,Runtime Learning Status,424:9905,Header,Dynamic Badge,Read / derived,PROJECTION_READ,Personal Runtime Summary,GET,LIVE_READ_FAMILY,WIRED,Live read + client consume
LO,,PER-LO-S04,Recovery,353:11408,PER-LO-S04-W002,Close Recovery,424:9908,Header,CTA,Local UI state,LOCAL_UI,LOCAL_ONLY,LOCAL,LOCAL,LOCAL_ONLY,UI-only / navigation
LO,,PER-LO-S04,Recovery,353:11408,PER-LO-S04-W003,Rest,424:9923,Activity Type,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordRecovery,POST,LIVE_WRITE_FAMILY,WIRED,Live write + client Quick Add
LO,,PER-LO-S04,Recovery,353:11408,PER-LO-S04-W004,Sleep,424:9925,Activity Type,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordRecovery,POST,LIVE_WRITE_FAMILY,WIRED,Live write + client Quick Add
LO,,PER-LO-S04,Recovery,353:11408,PER-LO-S04-W005,Exercise,424:9927,Activity Type,Selection Chip,Local form state; included in submit,CANONICAL_WRITE,LifeOperations.RecordRecovery,POST,LIVE_WRITE_FAMILY,WIRED,Live write + client Quick Add
