Domain,MomentId,Widget,Endpoint,HttpMethod,DtoStatus,ClientWiring,CatalogClassification,BackendMatch,GapType
PERSONAL,P4,Support,POST /v1/moments/:id/relationship-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P4,Shared Exp,POST /v1/moments/:id/relationship-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P4,Investment,POST /v1/moments/:id/relationship-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
PERSONAL,P4,Adjust,POST /v1/moments/:id/relationship-activities,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
GROUP,G01,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G01,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G01,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G01,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G02,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G02,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G02,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G02,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G03,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G03,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G03,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G03,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G04,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G04,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G04,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G04,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G05,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G05,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G05,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G05,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G06,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G06,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G06,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G06,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G07,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G07,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G07,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G07,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G08,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G08,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G08,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G08,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G09,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G09,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G09,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G09,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G10,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G10,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G10,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G10,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G11,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G11,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G11,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G11,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G12,Expense,POST /v1/moments/:id/group-expenses,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G12,Contribute,POST /v1/moments/:id/contributions,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
GROUP,G12,Settle,POST /v1/moments/:id/settlements,POST/PATCH,DECLARED,BOTH,IMPLEMENTED,VERIFY,PASS_OR_CANDIDATE
GROUP,G12,People,POST /v1/group/invites,POST/PATCH,DECLARED,BOTH,FAMILY_UI_REUSED,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B01,Expense,POST /v1/moments/:id/business-expenses,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B01,Revenue,POST /v1/moments/:id/revenues,POST/PATCH,DECLARED,IOS_ONLY,CAPABILITY_GAP,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B01,Invoice,POST /v1/moments/:id/invoices,POST/PATCH,DECLARED,IOS_ONLY,CAPABILITY_GAP,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B01,People,GET /v1/companies/:id/members,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B02,Expense,POST /v1/moments/:id/business-expenses,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B02,Revenue,POST /v1/moments/:id/revenues,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B02,Invoice,POST /v1/moments/:id/invoices,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B02,People,GET /v1/companies/:id/members,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B03,Expense,POST /v1/moments/:id/business-expenses,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B03,Revenue,POST /v1/moments/:id/revenues,POST/PATCH,DECLARED,IOS_ONLY,CAPABILITY_GAP,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B03,Invoice,POST /v1/moments/:id/invoices,POST/PATCH,DECLARED,IOS_ONLY,CAPABILITY_GAP,VERIFY,PASS_OR_CANDIDATE
BUSINESS,B03,People,GET /v1/companies/:id/members,POST/PATCH,DECLARED,BOTH,PASS_CANDIDATE,VERIFY,PASS_OR_CANDIDATE
