Method,Path,NormalizedRoute,InRouter,AndroidApi,iOSApi,AndroidRepoCalls,iOSRepoCalls,ClientStatus,ParentGap
POST,/v1/moments/{momentId}/lifestyle-activities,POST /v1/moments/{}/lifestyle-activities,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/moments/{momentId}/lifestyle-activities/{activityId},PATCH /v1/moments/{}/lifestyle-activities/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/moments/{momentId}/expenses/{expenseId},GET /v1/moments/{}/expenses/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/moments/{momentId}/expenses/{expenseId},PATCH /v1/moments/{}/expenses/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
DELETE,/v1/moments/{momentId}/expenses/{expenseId},DELETE /v1/moments/{}/expenses/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/moments/{momentId}/expenses/{expenseId}/attachments,GET /v1/moments/{}/expenses/{}/attachments,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/expenses/{expenseId}/attachments,POST /v1/moments/{}/expenses/{}/attachments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
DELETE,/v1/moments/{momentId}/expenses/{expenseId}/attachments/{uploadId},DELETE /v1/moments/{}/expenses/{}/attachments/{},True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/financial-accounts,GET /v1/financial-accounts,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/financial-accounts,POST /v1/financial-accounts,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/media/uploads,POST /v1/media/uploads,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt;apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/media/uploads/{uploadId}/complete,POST /v1/media/uploads/{}/complete,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt;apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/income,POST /v1/moments/{}/income,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/moments/{momentId}/income/{incomeId},GET /v1/moments/{}/income/{},True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/moments/{momentId}/income/{incomeId},PATCH /v1/moments/{}/income/{},True,True,True,,,UNWIRED_REPO,SP-013
DELETE,/v1/moments/{momentId}/income/{incomeId},DELETE /v1/moments/{}/income/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/movements,POST /v1/moments/{}/movements,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/moments/{momentId}/recurring-schedules,GET /v1/moments/{}/recurring-schedules,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/recurring-schedules,POST /v1/moments/{}/recurring-schedules,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/moments/{momentId}/recurring-schedules/{scheduleId},PATCH /v1/moments/{}/recurring-schedules/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/recurring-schedules/{scheduleId}/generate,POST /v1/moments/{}/recurring-schedules/{}/generate,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/setups,GET /v1/personal/setups,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/personal/setups/{systemCode}/activate,POST /v1/personal/setups/{}/activate,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/attention,GET /v1/personal/attention,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/pulse,GET /v1/personal/pulse,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/activity,GET /v1/personal/activity,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt;apk/app/src/main/java/com/example/momentra/data/repository/PersonalActivityRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/life,GET /v1/personal/life,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/memory,GET /v1/personal/memory,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/moments/{momentId}/runtime-summary,GET /v1/personal/moments/{}/runtime-summary,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/moments/{momentId}/mood-history,GET /v1/personal/moments/{}/mood-history,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/adjustment-insight,GET /v1/personal/moments/{}/adjustment-insight,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/activity-summary,GET /v1/personal/moments/{}/activity-summary,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/money-journey,GET /v1/personal/moments/{}/money-journey,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/finance/expense-categories,GET /v1/finance/expense-categories,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/future-runtime-summary,GET /v1/personal/moments/{}/future-runtime-summary,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/future-axis-snapshot,GET /v1/personal/moments/{}/future-axis-snapshot,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/moments/{momentId}/future-inventory,GET /v1/personal/moments/{}/future-inventory,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/future-journey,GET /v1/personal/moments/{}/future-journey,True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/personal/moments/{momentId}/future-profile,PATCH /v1/personal/moments/{}/future-profile,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/lifestyle-runtime-summary,GET /v1/personal/moments/{}/lifestyle-runtime-summary,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/lifestyle-vitality-snapshot,GET /v1/personal/moments/{}/lifestyle-vitality-snapshot,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/moments/{momentId}/lifestyle-inventory,GET /v1/personal/moments/{}/lifestyle-inventory,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/lifestyle-journey,GET /v1/personal/moments/{}/lifestyle-journey,True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/personal/moments/{momentId}/lifestyle-profile,PATCH /v1/personal/moments/{}/lifestyle-profile,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/relationships-runtime-summary,GET /v1/personal/moments/{}/relationships-runtime-summary,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/relationships-bond-snapshot,GET /v1/personal/moments/{}/relationships-bond-snapshot,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/personal/moments/{momentId}/relationships-connections,GET /v1/personal/moments/{}/relationships-connections,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/personal/moments/{momentId}/relationships-journey,GET /v1/personal/moments/{}/relationships-journey,True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/personal/moments/{momentId}/relationships-profile,PATCH /v1/personal/moments/{}/relationships-profile,True,True,True,,,UNWIRED_REPO,SP-013
PATCH,/v1/personal/moments/{momentId}/life-ops-profile,PATCH /v1/personal/moments/{}/life-ops-profile,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/attention-captures,POST /v1/moments/{}/attention-captures,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/life-ops-adjustments,POST /v1/moments/{}/life-ops-adjustments,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/relationship-activities,POST /v1/moments/{}/relationship-activities,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/PersonalSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/participants,GET /v1/group/moments/{}/participants,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/participants,POST /v1/moments/{}/participants,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/activity,GET /v1/group/moments/{}/activity,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
PATCH,/v1/group/moments/{momentId}/budget,PATCH /v1/group/moments/{}/budget,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/group-expenses,POST /v1/moments/{}/group-expenses,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/contributions,POST /v1/moments/{}/contributions,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/planning-items,GET /v1/group/moments/{}/planning-items,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/planning-items,POST /v1/moments/{}/planning-items,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/bookings,GET /v1/group/moments/{}/bookings,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/bookings,POST /v1/moments/{}/bookings,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/polls,GET /v1/group/moments/{}/polls,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/polls,POST /v1/moments/{}/polls,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/polls/{pollId},GET /v1/polls/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/polls/{pollId}/votes,POST /v1/polls/{}/votes,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/polls/{pollId}/close,POST /v1/polls/{}/close,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/updates,GET /v1/group/moments/{}/updates,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/updates,POST /v1/moments/{}/updates,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/purchase-items,GET /v1/group/moments/{}/purchase-items,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/purchase-items,POST /v1/moments/{}/purchase-items,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/delivery-handovers,GET /v1/group/moments/{}/delivery-handovers,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/delivery-handovers,POST /v1/moments/{}/delivery-handovers,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/ownership-records,GET /v1/group/moments/{}/ownership-records,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/ownership-records,POST /v1/moments/{}/ownership-records,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/residents,GET /v1/group/moments/{}/residents,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/residents,POST /v1/moments/{}/residents,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/memories,GET /v1/group/moments/{}/memories,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/memories,POST /v1/moments/{}/memories,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/moments/{momentId}/memories/{memoryId}/media,GET /v1/moments/{}/memories/{}/media,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/memories/{memoryId}/media,POST /v1/moments/{}/memories/{}/media,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/vendors,GET /v1/group/moments/{}/vendors,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/vendors,POST /v1/moments/{}/vendors,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/attendance,GET /v1/group/moments/{}/attendance,True,True,True,,,UNWIRED_REPO,SP-013
