Table,Classification,ReferencedInBackend,AuditResult,RegisterGapId
business.team_membership,ORPHAN_CANDIDATE,N,REVIEW,SP-007
business.team_operations_context,CANONICAL,Y,PASS,SP-007
business.vendor,CANONICAL,Y,PASS,SP-007
business.vendor_contract,CANONICAL,Y,PASS,SP-007
business.vendor_operations_context,ORPHAN_CANDIDATE,N,REVIEW,SP-007
collaboration.attendance,CANONICAL,Y,PASS,SP-007
collaboration.booking,CANONICAL,Y,PASS,SP-007
collaboration.community_coordination_context,ORPHAN_CANDIDATE,N,REVIEW,SP-007
collaboration.coordination_item,ORPHAN_CANDIDATE,N,REVIEW,SP-007
collaboration.delivery_handover,CANONICAL,Y,PASS,SP-007
collaboration.group_moment_context,CANONICAL,Y,PASS,SP-007
collaboration.group_update,CANONICAL,Y,PASS,SP-007
collaboration.group_vendor,CANONICAL,Y,PASS,SP-007
collaboration.living_rule,CANONICAL,Y,PASS,SP-007
collaboration.maintenance_record,CANONICAL,Y,PASS,SP-007
collaboration.moment_invite,CANONICAL,Y,PASS,SP-007
collaboration.moment_invite_claim,CANONICAL,Y,PASS,SP-007
collaboration.moment_participant,CANONICAL,Y,PASS,SP-007
collaboration.ownership_record,CANONICAL,Y,PASS,SP-007
collaboration.planning_item,CANONICAL,Y,PASS,SP-007
collaboration.poll,LEGACY,Y,PASS,SP-007
collaboration.poll_option,LEGACY,Y,PASS,SP-007
collaboration.poll_vote,LEGACY,Y,PASS,SP-007
collaboration.purchase_item,CANONICAL,Y,PASS,SP-007
collaboration.resident,CANONICAL,Y,PASS,SP-007
collaboration.shared_asset,CANONICAL,Y,PASS,SP-007
collaboration.shared_experience_context,CANONICAL,Y,PASS,SP-007
collaboration.shared_goal_context,ORPHAN_CANDIDATE,N,REVIEW,SP-007
collaboration.shared_living_context,CANONICAL,Y,PASS,SP-007
collaboration.shared_purchase_context,CANONICAL,Y,PASS,SP-007
core.capability,CANONICAL,Y,PASS,SP-007
core.external_party,CANONICAL,Y,PASS,SP-007
core.moment,CANONICAL,Y,PASS,SP-007
core.moment_category,CANONICAL,Y,PASS,SP-007
core.moment_type,CANONICAL,Y,PASS,SP-007
core.moment_type_capability,CANONICAL,Y,PASS,SP-007
core.user_profile,CANONICAL,Y,PASS,SP-007
events.dead_letter_event,WORKER_INTERNAL,N,REVIEW,SP-007
events.domain_event,WORKER_INTERNAL,Y,PASS,SP-007
events.event_consumer_state,WORKER_INTERNAL,Y,PASS,SP-007
events.event_delivery_attempt,WORKER_INTERNAL,N,REVIEW,SP-007
events.outbox_event,WORKER_INTERNAL,Y,PASS,SP-007
finance.budget,CANONICAL,Y,PASS,SP-007
finance.budget_revision,ORPHAN_CANDIDATE,N,REVIEW,SP-007
finance.business_expense_context,CANONICAL,Y,PASS,SP-007
finance.contribution,CANONICAL,Y,PASS,SP-007
finance.expense,CANONICAL,Y,PASS,SP-007
finance.expense_category,CANONICAL,Y,PASS,SP-007
finance.expense_resource_link,CANONICAL,Y,PASS,SP-007
finance.expense_share,CANONICAL,Y,PASS,SP-007
finance.expense_split,ORPHAN_CANDIDATE,N,REVIEW,SP-007
finance.expense_subcategory,CANONICAL,Y,PASS,SP-007
finance.expense_tag,CANONICAL,Y,PASS,SP-007
finance.financial_account,CANONICAL,Y,PASS,SP-007
finance.financial_account_preference,ORPHAN_CANDIDATE,N,REVIEW,SP-007
finance.financial_movement,CANONICAL,Y,PASS,SP-007
finance.financial_movement_link,CANONICAL,Y,PASS,SP-007
finance.forecast_line,CANONICAL,Y,PASS,SP-007
finance.forecast_scenario,CANONICAL,Y,PASS,SP-007
finance.group_expense_context,CANONICAL,Y,PASS,SP-007
finance.invoice,CANONICAL,Y,PASS,SP-007
finance.invoice_line,CANONICAL,Y,PASS,SP-007
finance.invoice_payment,ORPHAN_CANDIDATE,N,REVIEW,SP-007
finance.participant_obligation,CANONICAL,Y,PASS,SP-007
finance.personal_expense_context,CANONICAL,Y,PASS,SP-007
finance.recurring_financial_instruction,ORPHAN_CANDIDATE,N,REVIEW,SP-007
finance.recurring_schedule,CANONICAL,Y,PASS,SP-007
finance.recurring_schedule_link,CANONICAL,Y,PASS,SP-007
finance.revenue,CANONICAL,Y,PASS,SP-007
finance.settlement,CANONICAL,Y,PASS,SP-007
finance.settlement_allocation,CANONICAL,Y,PASS,SP-007
finance.tax_obligation,CANONICAL,Y,PASS,SP-007
governance.approval_decision,CANONICAL,Y,PASS,SP-007
governance.approval_request,CANONICAL,Y,PASS,SP-007
governance.approval_step,CANONICAL,Y,PASS,SP-007
governance.consent,CANONICAL,Y,PASS,SP-007
governance.consent_purpose,CANONICAL,Y,PASS,SP-007
governance.data_category,FUTURE,N,REVIEW,SP-007
governance.permission,CANONICAL,Y,PASS,SP-007
governance.policy,CANONICAL,Y,PASS,SP-007
governance.policy_version,CANONICAL,Y,PASS,SP-007
governance.role,CANONICAL,Y,PASS,SP-007
governance.role_assignment,FUTURE,N,REVIEW,SP-007
governance.role_permission,FUTURE,N,REVIEW,SP-007
memory.learning,CANONICAL,Y,PASS,SP-007
memory.learning_evidence,ORPHAN_CANDIDATE,N,REVIEW,SP-007
memory.memory,CANONICAL,Y,PASS,SP-007
memory.memory_evidence,CANONICAL,Y,PASS,SP-007
memory.pattern,FUTURE,Y,PASS,SP-007
memory.pattern_occurrence,FUTURE,N,REVIEW,SP-007
memory.playbook,CANONICAL,Y,PASS,SP-007
memory.playbook_evidence,ORPHAN_CANDIDATE,N,REVIEW,SP-007
memory.playbook_version,ORPHAN_CANDIDATE,N,REVIEW,SP-007
personal.future_building_profile,CANONICAL,Y,PASS,SP-007
personal.future_learning_activity,CANONICAL,Y,PASS,SP-007
personal.future_opportunity,CANONICAL,Y,PASS,SP-007
personal.future_pivot,CANONICAL,Y,PASS,SP-007
personal.future_progress_observation,CANONICAL,Y,PASS,SP-007
personal.life_operation_adjustment,CANONICAL,Y,PASS,SP-007
personal.life_operation_anchor,CANONICAL,Y,PASS,SP-007
personal.life_operation_observation,CANONICAL,Y,PASS,SP-007
personal.life_operation_priority,CANONICAL,Y,PASS,SP-007
personal.life_operation_profile,CANONICAL,Y,PASS,SP-007
personal.life_system_setup,CANONICAL,Y,PASS,SP-007
personal.lifestyle_activity,CANONICAL,Y,PASS,SP-007
personal.lifestyle_profile,CANONICAL,Y,PASS,SP-007
personal.mood_observation_detail,CANONICAL,Y,PASS,SP-007
personal.mood_observation_driver,CANONICAL,Y,PASS,SP-007
personal.personal_moment_context,CANONICAL,Y,PASS,SP-007
personal.recovery_observation_detail,CANONICAL,Y,PASS,SP-007
personal.relationship_activity,CANONICAL,Y,PASS,SP-007
personal.relationship_connection,CANONICAL,Y,PASS,SP-007
personal.relationships_profile,CANONICAL,Y,PASS,SP-007
platform.distributed_lock,WORKER_INTERNAL,N,REVIEW,SP-007
platform.idempotency_record,WORKER_INTERNAL,Y,PASS,SP-007
platform.job_execution,WORKER_INTERNAL,N,REVIEW,SP-007
platform.media_upload,WORKER_INTERNAL,Y,PASS,SP-007
platform.processing_checkpoint,WORKER_INTERNAL,N,REVIEW,SP-007
platform.user_device,WORKER_INTERNAL,Y,PASS,SP-007
projection.attention_summary,PROJECTION,N,REVIEW,SP-007
projection.available_action,PROJECTION,N,REVIEW,SP-007
projection.business_finance_snapshot,PROJECTION,Y,PASS,SP-007
projection.business_life,PROJECTION,Y,PASS,SP-007
projection.business_memory,PROJECTION,Y,PASS,SP-007
projection.business_moments,PROJECTION,Y,PASS,SP-007
projection.business_pulse,PROJECTION,Y,PASS,SP-007
projection.business_pulse_history,PROJECTION,Y,PASS,SP-007
projection.group_finance_position,PROJECTION,Y,PASS,SP-007
projection.group_finance_snapshot,PROJECTION,Y,PASS,SP-007
projection.group_life,PROJECTION,Y,PASS,SP-007
projection.group_memory,PROJECTION,Y,PASS,SP-007
projection.group_moments,PROJECTION,N,REVIEW,SP-007
projection.group_pulse,PROJECTION,Y,PASS,SP-007
projection.life360,PROJECTION,Y,PASS,SP-007
projection.moment_summary,PROJECTION,N,REVIEW,SP-007
projection.pending_approval_summary,PROJECTION,N,REVIEW,SP-007
projection.personal_finance_snapshot,PROJECTION,Y,PASS,SP-007
projection.personal_life,PROJECTION,N,REVIEW,SP-007
projection.personal_memory,PROJECTION,N,REVIEW,SP-007
projection.personal_moments,PROJECTION,Y,PASS,SP-007
projection.personal_pulse,PROJECTION,Y,PASS,SP-007
projection.projection_state,PROJECTION,N,REVIEW,SP-007
projection.recent_activity,PROJECTION,Y,PASS,SP-007
projection.user_company_access,PROJECTION,N,REVIEW,SP-007
shared.poll,CANONICAL,Y,PASS,SP-007
shared.poll_option,CANONICAL,Y,PASS,SP-007
shared.poll_vote,CANONICAL,Y,PASS,SP-007
work.assignment,ORPHAN_CANDIDATE,N,REVIEW,SP-007
work.goal,CANONICAL,Y,PASS,SP-007
work.milestone,CANONICAL,Y,PASS,SP-007
work.task,CANONICAL,Y,PASS,SP-007
work.task_dependency,ORPHAN_CANDIDATE,N,REVIEW,SP-007
