Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
12,MTR-IOS-0012,Business,Business,Team Operations,Team Meal,Expense,2025-11-11,17:19:55,2025-11-11 17:19:55,153816.21,INR,-153816.21,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 153816.21,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0012,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 153816.21,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
13,MTR-IOS-0013,Personal,Personal,Life Operations,Healthcare,Expense,2025-11-09,08:56:35,2025-11-09 08:56:35,12883.33,INR,-12883.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 12883.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0013,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 12883.33,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
14,MTR-IOS-0014,Group,Shared Experience,Trip,Activities,Expense,2026-06-03,00:50:46,2026-06-03 00:50:46,8585.78,INR,-8585.78,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0014 | Activities | 8585.78,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0014,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-IOS-GROUP-TRIP-0014 | Activities | 8585.78,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
15,MTR-IOS-0015,Business,Business,Team Operations,Travel,Expense,2026-04-03,04:52:28,2026-04-03 04:52:28,126238.94,INR,-126238.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 126238.94,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0015,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 126238.94,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
16,MTR-IOS-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2025-12-19,15:44:33,2025-12-19 15:44:33,12564.33,INR,-12564.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12564.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0016,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12564.33,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
17,MTR-IOS-0017,Group,Shared Experience,Trip,Shopping,Expense,2026-07-13,17:19:07,2026-07-13 17:19:07,14891.49,INR,-14891.49,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0017 | Shopping | 14891.49,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0017,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-IOS-GROUP-TRIP-0017 | Shopping | 14891.49,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
18,MTR-IOS-0018,Business,Business,Team Operations,Training,Expense,2025-12-06,21:22:54,2025-12-06 21:22:54,77896.48,INR,-77896.48,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0018 | Training | 77896.48,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0018,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0018 | Training | 77896.48,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
19,MTR-IOS-0019,Personal,Personal,Life Operations,Repairs,Expense,2026-01-04,12:54:47,2026-01-04 12:54:47,17848.59,INR,-17848.59,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 17848.59,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0019,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 17848.59,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
20,MTR-IOS-0020,Group,Shared Experience,Trip,Other,Expense,2026-07-10,02:41:12,2026-07-10 02:41:12,16125.67,INR,-16125.67,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0020 | Other | 16125.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0020,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-IOS-GROUP-TRIP-0020 | Other | 16125.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
21,MTR-IOS-0021,Business,Business,Team Operations,Tools,Expense,2026-08-30,21:03:27,2026-08-30 21:03:27,135446.27,INR,-135446.27,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 135446.27,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0021,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 135446.27,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
22,MTR-IOS-0022,Personal,Personal,Future Building,Savings,Transfer,2026-08-18,12:31:57,2026-08-18 12:31:57,16827.67,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0022 | Savings | 16827.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0022,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0022 | Savings | 16827.67,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
23,MTR-IOS-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-06-01,20:52:46,2026-06-01 20:52:46,24925.16,INR,-24925.16,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0023 | Venue | 24925.16,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0023,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-IOS-GROUP-WEDDING-0023 | Venue | 24925.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
24,MTR-IOS-0024,Business,Business,Business Runway,Funding,Income,2025-12-22,12:33:06,2025-12-22 12:33:06,121141.46,INR,121141.46,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 121141.46,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0024,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 121141.46,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
25,MTR-IOS-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2025-11-21,03:01:08,2025-11-21 03:01:08,4005.71,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 4005.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0025,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 4005.71,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
26,MTR-IOS-0026,Group,Shared Experience,Wedding,Catering,Expense,2026-06-13,12:22:45,2026-06-13 12:22:45,19704.71,INR,-19704.71,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0026 | Catering | 19704.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0026,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-IOS-GROUP-WEDDING-0026 | Catering | 19704.71,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
27,MTR-IOS-0027,Business,Business,Business Runway,Revenue,Income,2025-12-03,06:00:42,2025-12-03 06:00:42,144069.9,INR,144069.9,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 144069.90,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0027,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 144069.90,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
28,MTR-IOS-0028,Personal,Personal,Future Building,Investments,Investment,2025-10-04,22:40:03,2025-10-04 22:40:03,4161.04,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0028 | Investments | 4161.04,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0028,ios,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0028 | Investments | 4161.04,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
29,MTR-IOS-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-04-01,16:03:33,2026-04-01 16:03:33,15620.75,INR,-15620.75,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0029 | Decor | 15620.75,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0029,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-IOS-GROUP-WEDDING-0029 | Decor | 15620.75,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
30,MTR-IOS-0030,Business,Business,Business Runway,Burn,Expense,2026-05-28,08:13:09,2026-05-28 08:13:09,142385.1,INR,-142385.1,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 142385.10,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0030,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 142385.10,JOINED,Runway Log Expense
31,MTR-IOS-0031,Personal,Personal,Future Building,Education,Expense,2025-10-01,22:40:13,2025-10-01 22:40:13,6294.62,INR,-6294.62,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0031 | Education | 6294.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0031,ios,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0031 | Education | 6294.62,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
32,MTR-IOS-0032,Group,Shared Experience,Wedding,Travel,Expense,2025-12-08,02:39:00,2025-12-08 02:39:00,16472.62,INR,-16472.62,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-WEDDING-0032 | Travel | 16472.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0032,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-IOS-GROUP-WEDDING-0032 | Travel | 16472.62,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
33,MTR-IOS-0033,Business,Business,Business Runway,Reserve,Transfer,2026-02-26,12:20:25,2026-02-26 12:20:25,827.54,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 827.54,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0033,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 827.54,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
34,MTR-IOS-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-06-19,03:26:47,2026-06-19 03:26:47,10116.79,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 10116.79,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0034,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 10116.79,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
35,MTR-IOS-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-23,03:38:36,2025-11-23 03:38:36,18821.96,INR,-18821.96,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0035 | Gifts | 18821.96,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0035,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-IOS-GROUP-WEDDING-0035 | Gifts | 18821.96,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
36,MTR-IOS-0036,Business,Business,Business Runway,Loan,Income,2026-03-06,23:55:25,2026-03-06 23:55:25,122441.2,INR,122441.2,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 122441.20,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0036,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 122441.20,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
37,MTR-IOS-0037,Personal,Personal,Lifestyle,Dining,Expense,2026-04-06,17:23:47,2026-04-06 17:23:47,1.0,INR,-1.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0037,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-IOS-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
38,MTR-IOS-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-03-27,02:06:48,2026-03-27 02:06:48,6824.65,INR,-6824.65,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0038 | Photography | 6824.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0038,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-IOS-GROUP-WEDDING-0038 | Photography | 6824.65,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
39,MTR-IOS-0039,Business,Business,Business Runway,Investment,Income,2026-07-28,16:32:18,2026-07-28 16:32:18,161177.11,INR,161177.11,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 161177.11,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0039,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 161177.11,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
40,MTR-IOS-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-06-25,22:20:44,2026-06-25 22:20:44,8933.08,INR,-8933.08,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0040 | Shopping | 8933.08,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0040,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-IOS-PERSONAL-LIFESTYLE-0040 | Shopping | 8933.08,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
41,MTR-IOS-0041,Group,Shared Experience,Wedding,Other,Expense,2025-10-26,13:47:32,2025-10-26 13:47:32,18392.39,INR,-18392.39,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0041 | Other | 18392.39,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0041,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-IOS-GROUP-WEDDING-0041 | Other | 18392.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
