Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-IOS-0003,Business,Business,Team Operations,Payroll,Expense,2026-04-19,12:08:42,2026-04-19 12:08:42,57453.63,INR,-57453.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0003,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
45,MTR-IOS-0045,Business,Business,Business Operations,Rent,Expense,2026-02-01,18:14:19,2026-02-01 18:14:19,115020.15,INR,-115020.15,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 115020.15,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0045,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 115020.15,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
48,MTR-IOS-0048,Business,Business,Business Operations,Marketing,Expense,2026-03-11,09:51:36,2026-03-11 09:51:36,13101.49,INR,-13101.49,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 13101.49,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0048,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 13101.49,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
51,MTR-IOS-0051,Business,Business,Business Operations,Legal,Expense,2026-05-02,08:30:40,2026-05-02 08:30:40,129560.87,INR,-129560.87,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 129560.87,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0051,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 129560.87,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
54,MTR-IOS-0054,Business,Business,Business Operations,Accounting,Expense,2026-02-11,21:57:02,2026-02-11 21:57:02,56575.85,INR,-56575.85,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 56575.85,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0054,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 56575.85,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
57,MTR-IOS-0057,Business,Business,Business Operations,Equipment,Expense,2026-04-07,20:42:09,2026-04-07 20:42:09,133277.16,INR,-133277.16,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 133277.16,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0057,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 133277.16,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
60,MTR-IOS-0060,Business,Business,Business Operations,Vendor,Expense,2025-11-13,07:17:40,2025-11-13 07:17:40,56257.61,INR,-56257.61,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 56257.61,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0060,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 56257.61,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
63,MTR-IOS-0063,Business,Business,Business Operations,Tax,Expense,2026-04-08,16:29:47,2026-04-08 16:29:47,139365.36,INR,-139365.36,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 139365.36,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0063,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 139365.36,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
66,MTR-IOS-0066,Business,Business,Team Operations,Payroll,Expense,2026-08-28,16:54:37,2026-08-28 16:54:37,113953.26,INR,-113953.26,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 113953.26,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0066,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 113953.26,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
69,MTR-IOS-0069,Business,Business,Team Operations,Contractor,Expense,2026-05-20,08:08:58,2026-05-20 08:08:58,136731.74,INR,-136731.74,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 136731.74,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0069,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 136731.74,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
72,MTR-IOS-0072,Business,Business,Team Operations,Hiring,Expense,2026-04-19,13:52:49,2026-04-19 13:52:49,101440.72,INR,-101440.72,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 101440.72,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0072,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 101440.72,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
75,MTR-IOS-0075,Business,Business,Team Operations,Team Meal,Expense,2026-05-06,09:23:33,2026-05-06 09:23:33,31526.73,INR,-31526.73,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 31526.73,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0075,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 31526.73,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
78,MTR-IOS-0078,Business,Business,Team Operations,Travel,Expense,2026-02-19,19:51:07,2026-02-19 19:51:07,122605.77,INR,-122605.77,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 122605.77,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0078,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 122605.77,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
81,MTR-IOS-0081,Business,Business,Team Operations,Training,Expense,2025-12-31,20:08:42,2025-12-31 20:08:42,91592.45,INR,-91592.45,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0081 | Training | 91592.45,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0081,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0081 | Training | 91592.45,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
84,MTR-IOS-0084,Business,Business,Team Operations,Tools,Expense,2025-11-15,10:56:32,2025-11-15 10:56:32,28921.75,INR,-28921.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 28921.75,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0084,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 28921.75,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
87,MTR-IOS-0087,Business,Business,Business Runway,Funding,Income,2025-09-24,16:51:55,2025-09-24 16:51:55,106112.85,INR,106112.85,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0087 | Funding | 106112.85,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0087,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0087 | Funding | 106112.85,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
90,MTR-IOS-0090,Business,Business,Business Runway,Revenue,Income,2026-07-03,11:47:13,2026-07-03 11:47:13,164732.5,INR,164732.5,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0090 | Revenue | 164732.50,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0090,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0090 | Revenue | 164732.50,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
93,MTR-IOS-0093,Business,Business,Business Runway,Burn,Expense,2025-10-10,21:42:20,2025-10-10 21:42:20,87834.75,INR,-87834.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0093 | Burn | 87834.75,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0093,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0093 | Burn | 87834.75,JOINED,Runway Log Expense
96,MTR-IOS-0096,Business,Business,Business Runway,Reserve,Transfer,2025-11-08,09:55:51,2025-11-08 09:55:51,91780.94,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0096 | Reserve | 91780.94,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0096,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0096 | Reserve | 91780.94,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
99,MTR-IOS-0099,Business,Business,Business Runway,Loan,Income,2026-04-02,19:00:33,2026-04-02 19:00:33,9873.35,INR,9873.35,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0099 | Loan | 9873.35,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0099,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0099 | Loan | 9873.35,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
102,MTR-IOS-0102,Business,Business,Business Runway,Investment,Income,2026-04-30,09:31:22,2026-04-30 09:31:22,148459.45,INR,148459.45,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0102 | Investment | 148459.45,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0102,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0102 | Investment | 148459.45,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
105,MTR-IOS-0105,Business,Business,Business Operations,Software,Expense,2025-12-17,05:13:42,2025-12-17 05:13:42,109716.24,INR,-109716.24,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0105 | Software | 109716.24,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0105,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0105 | Software | 109716.24,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
108,MTR-IOS-0108,Business,Business,Business Operations,Rent,Expense,2025-11-08,14:53:34,2025-11-08 14:53:34,105825.15,INR,-105825.15,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0108 | Rent | 105825.15,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0108,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0108 | Rent | 105825.15,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
111,MTR-IOS-0111,Business,Business,Business Operations,Marketing,Expense,2026-08-19,05:56:24,2026-08-19 05:56:24,100.0,INR,-100.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0111 | Marketing | 100.00,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0111,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0111 | Marketing | 100.00,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
114,MTR-IOS-0114,Business,Business,Business Operations,Legal,Expense,2026-02-05,15:50:08,2026-02-05 15:50:08,97844.99,INR,-97844.99,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0114 | Legal | 97844.99,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0114,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0114 | Legal | 97844.99,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
117,MTR-IOS-0117,Business,Business,Business Operations,Accounting,Expense,2025-10-14,01:19:58,2025-10-14 01:19:58,12783.36,INR,-12783.36,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0117 | Accounting | 12783.36,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0117,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0117 | Accounting | 12783.36,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
120,MTR-IOS-0120,Business,Business,Business Operations,Equipment,Expense,2026-01-20,07:28:00,2026-01-20 07:28:00,100774.25,INR,-100774.25,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0120 | Equipment | 100774.25,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0120,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0120 | Equipment | 100774.25,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
123,MTR-IOS-0123,Business,Business,Business Operations,Vendor,Expense,2026-02-14,02:41:08,2026-02-14 02:41:08,95373.75,INR,-95373.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0123 | Vendor | 95373.75,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0123,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0123 | Vendor | 95373.75,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
