Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-IOS-0002,Group,Shared Experience,Trip,Travel,Expense,2026-01-01,17:33:29,2026-01-01 17:33:29,26868.32,INR,-26868.32,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0002,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
35,MTR-IOS-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-23,03:38:36,2025-11-23 03:38:36,18821.96,INR,-18821.96,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0035 | Gifts | 18821.96,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0035,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-IOS-GROUP-WEDDING-0035 | Gifts | 18821.96,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
38,MTR-IOS-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-03-27,02:06:48,2026-03-27 02:06:48,6824.65,INR,-6824.65,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0038 | Photography | 6824.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0038,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-IOS-GROUP-WEDDING-0038 | Photography | 6824.65,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
41,MTR-IOS-0041,Group,Shared Experience,Wedding,Other,Expense,2025-10-26,13:47:32,2025-10-26 13:47:32,18392.39,INR,-18392.39,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0041 | Other | 18392.39,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0041,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-IOS-GROUP-WEDDING-0041 | Other | 18392.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
44,MTR-IOS-0044,Group,Shared Experience,Office Outing,Food,Expense,2026-05-16,04:50:46,2026-05-16 04:50:46,24075.67,INR,-24075.67,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-0044 | Food | 24075.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0044,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-IOS-GROUP-OFFICE_OUTING-0044 | Food | 24075.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
47,MTR-IOS-0047,Group,Shared Experience,Office Outing,Travel,Expense,2026-06-29,09:31:51,2026-06-29 09:31:51,26939.54,INR,-26939.54,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-OFFICE_OUTING-0047 | Travel | 26939.54,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0047,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Travel,MAESTRO-IOS-GROUP-OFFICE_OUTING-0047 | Travel | 26939.54,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
50,MTR-IOS-0050,Group,Shared Experience,Office Outing,Activities,Expense,2026-05-07,18:51:27,2026-05-07 18:51:27,23929.09,INR,-23929.09,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-OFFICE_OUTING-0050 | Activities | 23929.09,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0050,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-IOS-GROUP-OFFICE_OUTING-0050 | Activities | 23929.09,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
53,MTR-IOS-0053,Group,Shared Experience,Office Outing,Venue,Expense,2026-08-13,01:11:13,2026-08-13 01:11:13,4138.0,INR,-4138.0,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-OFFICE_OUTING-0053 | Venue | 4138.00,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0053,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-IOS-GROUP-OFFICE_OUTING-0053 | Venue | 4138.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
56,MTR-IOS-0056,Group,Shared Experience,Office Outing,Other,Expense,2026-01-28,19:37:42,2026-01-28 19:37:42,2675.67,INR,-2675.67,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-0056 | Other | 2675.67,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0056,ios,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-IOS-GROUP-OFFICE_OUTING-0056 | Other | 2675.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
59,MTR-IOS-0059,Group,Shared Experience,House Party,Food,Expense,2026-03-02,00:23:06,2026-03-02 00:23:06,645.28,INR,-645.28,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-HOUSE_PARTY-0059 | Food | 645.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0059,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Food,MAESTRO-IOS-GROUP-HOUSE_PARTY-0059 | Food | 645.28,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
62,MTR-IOS-0062,Group,Shared Experience,House Party,Drinks,Expense,2026-03-20,09:39:48,2026-03-20 09:39:48,16257.19,INR,-16257.19,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-HOUSE_PARTY-0062 | Drinks | 16257.19,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0062,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Drinks,MAESTRO-IOS-GROUP-HOUSE_PARTY-0062 | Drinks | 16257.19,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
65,MTR-IOS-0065,Group,Shared Experience,House Party,Decor,Expense,2026-04-30,08:28:10,2026-04-30 08:28:10,6500.81,INR,-6500.81,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-HOUSE_PARTY-0065 | Decor | 6500.81,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0065,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-IOS-GROUP-HOUSE_PARTY-0065 | Decor | 6500.81,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
68,MTR-IOS-0068,Group,Shared Experience,House Party,Supplies,Expense,2025-09-04,03:21:24,2025-09-04 03:21:24,12595.83,INR,-12595.83,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-HOUSE_PARTY-0068 | Supplies | 12595.83,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0068,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Supplies,MAESTRO-IOS-GROUP-HOUSE_PARTY-0068 | Supplies | 12595.83,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
71,MTR-IOS-0071,Group,Shared Experience,House Party,Other,Expense,2026-08-01,15:48:31,2026-08-01 15:48:31,22932.1,INR,-22932.1,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-HOUSE_PARTY-0071 | Other | 22932.10,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0071,ios,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-HOUSE_PARTY-0071 | Other | 22932.10,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
74,MTR-IOS-0074,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-08-26,08:31:00,2026-08-26 08:31:00,99.99,INR,99.99,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-GIFT_POOL-0074 | Contribution | 99.99,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0074,ios,G05,GIFT_POOL,Contribute,G05:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.equal,Contribution,MAESTRO-IOS-GROUP-GIFT_POOL-0074 | Contribution | 99.99,JOINED,
77,MTR-IOS-0077,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-10-22,21:55:33,2025-10-22 21:55:33,10652.95,INR,-10652.95,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-GIFT_POOL-0077 | Gift Purchase | 10652.95,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0077,ios,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Gift Purchase,MAESTRO-IOS-GROUP-GIFT_POOL-0077 | Gift Purchase | 10652.95,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
80,MTR-IOS-0080,Group,Shared Purchase,Gift Pool,Delivery,Expense,2026-02-22,18:44:03,2026-02-22 18:44:03,5391.57,INR,-5391.57,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-GIFT_POOL-0080 | Delivery | 5391.57,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0080,ios,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Delivery,MAESTRO-IOS-GROUP-GIFT_POOL-0080 | Delivery | 5391.57,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
83,MTR-IOS-0083,Group,Shared Purchase,Gift Pool,Other,Expense,2026-08-14,00:28:05,2026-08-14 00:28:05,22439.56,INR,-22439.56,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-GIFT_POOL-0083 | Other | 22439.56,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0083,ios,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-GIFT_POOL-0083 | Other | 22439.56,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
86,MTR-IOS-0086,Group,Shared Purchase,Purchase,Item,Expense,2026-05-02,20:36:35,2026-05-02 20:36:35,1987.64,INR,-1987.64,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-PURCHASE-0086 | Item | 1987.64,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0086,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Item,MAESTRO-IOS-GROUP-PURCHASE-0086 | Item | 1987.64,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
89,MTR-IOS-0089,Group,Shared Purchase,Purchase,Shipping,Expense,2025-12-20,22:49:37,2025-12-20 22:49:37,8397.3,INR,-8397.3,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-PURCHASE-0089 | Shipping | 8397.30,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0089,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shipping,MAESTRO-IOS-GROUP-PURCHASE-0089 | Shipping | 8397.30,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
92,MTR-IOS-0092,Group,Shared Purchase,Purchase,Tax,Expense,2026-03-16,05:49:09,2026-03-16 05:49:09,22954.16,INR,-22954.16,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-PURCHASE-0092 | Tax | 22954.16,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0092,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Tax,MAESTRO-IOS-GROUP-PURCHASE-0092 | Tax | 22954.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
95,MTR-IOS-0095,Group,Shared Purchase,Purchase,Other,Expense,2025-11-24,13:07:06,2025-11-24 13:07:06,25633.17,INR,-25633.17,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-PURCHASE-0095 | Other | 25633.17,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0095,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-PURCHASE-0095 | Other | 25633.17,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
98,MTR-IOS-0098,Group,Shared Purchase,Assets,Purchase,Expense,2026-05-21,23:59:52,2026-05-21 23:59:52,20917.42,INR,-20917.42,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-ASSETS-0098 | Purchase | 20917.42,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0098,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Purchase,MAESTRO-IOS-GROUP-ASSETS-0098 | Purchase | 20917.42,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
101,MTR-IOS-0101,Group,Shared Purchase,Assets,Maintenance,Expense,2026-01-12,02:50:52,2026-01-12 02:50:52,21681.29,INR,-21681.29,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-ASSETS-0101 | Maintenance | 21681.29,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0101,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Maintenance,MAESTRO-IOS-GROUP-ASSETS-0101 | Maintenance | 21681.29,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
104,MTR-IOS-0104,Group,Shared Purchase,Assets,Repair,Expense,2026-04-05,02:18:13,2026-04-05 02:18:13,23860.34,INR,-23860.34,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-ASSETS-0104 | Repair | 23860.34,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0104,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Repair,MAESTRO-IOS-GROUP-ASSETS-0104 | Repair | 23860.34,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
107,MTR-IOS-0107,Group,Shared Purchase,Assets,Insurance,Expense,2026-07-06,00:37:40,2026-07-06 00:37:40,16865.3,INR,-16865.3,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-ASSETS-0107 | Insurance | 16865.30,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0107,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Insurance,MAESTRO-IOS-GROUP-ASSETS-0107 | Insurance | 16865.30,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
110,MTR-IOS-0110,Group,Shared Purchase,Assets,Other,Expense,2026-05-15,04:06:46,2026-05-15 04:06:46,2670.61,INR,-2670.61,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-ASSETS-0110 | Other | 2670.61,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0110,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Other,MAESTRO-IOS-GROUP-ASSETS-0110 | Other | 2670.61,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
113,MTR-IOS-0113,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2026-03-21,10:49:03,2026-03-21 10:49:03,12012.0,INR,-12012.0,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0113 | Custom Expense | 12012.00,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0113,ios,G08,COMMUNITY_PURCHASE,Expense,G08:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Custom Expense,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0113 | Custom Expense | 12012.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
116,MTR-IOS-0116,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-08-16,09:00:14,2026-08-16 09:00:14,23361.36,INR,23361.36,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0116 | Custom Contribution | 23361.36,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0116,ios,G08,COMMUNITY_PURCHASE,Contribute,G08:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.exact,Custom Contribution,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0116 | Custom Contribution | 23361.36,JOINED,
119,MTR-IOS-0119,Group,Shared Living,Flatmates,Rent,Expense,2026-04-19,22:02:39,2026-04-19 22:02:39,15229.04,INR,-15229.04,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FLATMATES-0119 | Rent | 15229.04,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0119,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Rent,MAESTRO-IOS-GROUP-FLATMATES-0119 | Rent | 15229.04,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
122,MTR-IOS-0122,Group,Shared Living,Flatmates,Utilities,Expense,2025-09-27,23:26:38,2025-09-27 23:26:38,4951.63,INR,-4951.63,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FLATMATES-0122 | Utilities | 4951.63,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0122,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Utilities,MAESTRO-IOS-GROUP-FLATMATES-0122 | Utilities | 4951.63,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
