Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
34,MTR-IOS-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-06-19,03:26:47,2026-06-19 03:26:47,10116.79,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 10116.79,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0034,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 10116.79,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
37,MTR-IOS-0037,Personal,Personal,Lifestyle,Dining,Expense,2026-04-06,17:23:47,2026-04-06 17:23:47,1.0,INR,-1.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0037,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-IOS-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
40,MTR-IOS-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-06-25,22:20:44,2026-06-25 22:20:44,8933.08,INR,-8933.08,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0040 | Shopping | 8933.08,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0040,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-IOS-PERSONAL-LIFESTYLE-0040 | Shopping | 8933.08,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
43,MTR-IOS-0043,Personal,Personal,Lifestyle,Entertainment,Expense,2025-12-07,04:36:53,2025-12-07 04:36:53,3405.74,INR,-3405.74,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0043 | Entertainment | 3405.74,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0043,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Entertainment,MAESTRO-IOS-PERSONAL-LIFESTYLE-0043 | Entertainment | 3405.74,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
46,MTR-IOS-0046,Personal,Personal,Lifestyle,Travel,Expense,2026-05-24,01:04:42,2026-05-24 01:04:42,2690.2,INR,-2690.2,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0046 | Travel | 2690.20,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0046,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Travel,MAESTRO-IOS-PERSONAL-LIFESTYLE-0046 | Travel | 2690.20,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
49,MTR-IOS-0049,Personal,Personal,Lifestyle,Fitness,Expense,2026-06-15,19:33:03,2026-06-15 19:33:03,11242.4,INR,-11242.4,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0049 | Fitness | 11242.40,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0049,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Fitness,MAESTRO-IOS-PERSONAL-LIFESTYLE-0049 | Fitness | 11242.40,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
52,MTR-IOS-0052,Personal,Personal,Lifestyle,Hobbies,Expense,2026-04-13,00:36:48,2026-04-13 00:36:48,12569.92,INR,-12569.92,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0052 | Hobbies | 12569.92,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0052,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Hobbies,MAESTRO-IOS-PERSONAL-LIFESTYLE-0052 | Hobbies | 12569.92,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
55,MTR-IOS-0055,Personal,Personal,Relationships,Gifts,Expense,2025-12-06,17:47:44,2025-12-06 17:47:44,11894.24,INR,-11894.24,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0055 | Gifts | 11894.24,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0055,ios,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Gifts,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0055 | Gifts | 11894.24,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
58,MTR-IOS-0058,Personal,Personal,Relationships,Dates,Expense,2026-03-17,23:28:00,2026-03-17 23:28:00,9526.28,INR,-9526.28,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0058 | Dates | 9526.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0058,ios,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Dates,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0058 | Dates | 9526.28,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
61,MTR-IOS-0061,Personal,Personal,Relationships,Family,Expense,2025-12-08,04:04:37,2025-12-08 04:04:37,15808.23,INR,-15808.23,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0061 | Family | 15808.23,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0061,ios,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Family,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0061 | Family | 15808.23,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
64,MTR-IOS-0064,Personal,Personal,Relationships,Friends,Expense,2025-10-31,19:21:55,2025-10-31 19:21:55,14580.17,INR,-14580.17,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0064 | Friends | 14580.17,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0064,ios,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Friends,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0064 | Friends | 14580.17,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
67,MTR-IOS-0067,Personal,Personal,Relationships,Celebrations,Expense,2026-01-22,02:50:04,2026-01-22 02:50:04,9094.31,INR,-9094.31,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 9094.31,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0067,ios,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Celebrations,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 9094.31,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
70,MTR-IOS-0070,Personal,Personal,Life Operations,Groceries,Expense,2026-04-27,06:43:45,2026-04-27 06:43:45,1050.87,INR,-1050.87,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 1050.87,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0070,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 1050.87,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
73,MTR-IOS-0073,Personal,Personal,Life Operations,Rent,Expense,2026-08-03,17:48:39,2026-08-03 17:48:39,2637.28,INR,-2637.28,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 2637.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0073,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 2637.28,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
76,MTR-IOS-0076,Personal,Personal,Life Operations,Bills,Expense,2026-04-20,06:13:46,2026-04-20 06:13:46,12479.77,INR,-12479.77,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 12479.77,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0076,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 12479.77,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
79,MTR-IOS-0079,Personal,Personal,Life Operations,Transport,Expense,2026-08-21,08:44:49,2026-08-21 08:44:49,7262.27,INR,-7262.27,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 7262.27,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0079,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 7262.27,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
82,MTR-IOS-0082,Personal,Personal,Life Operations,Healthcare,Expense,2025-10-15,21:12:15,2025-10-15 21:12:15,16572.13,INR,-16572.13,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 16572.13,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0082,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 16572.13,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
85,MTR-IOS-0085,Personal,Personal,Life Operations,Subscriptions,Expense,2025-12-01,14:32:19,2025-12-01 14:32:19,888.95,INR,-888.95,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0085 | Subscriptions | 888.95,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0085,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0085 | Subscriptions | 888.95,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
88,MTR-IOS-0088,Personal,Personal,Life Operations,Repairs,Expense,2025-09-05,00:22:10,2025-09-05 00:22:10,508.87,INR,-508.87,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0088 | Repairs | 508.87,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0088,ios,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0088 | Repairs | 508.87,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
91,MTR-IOS-0091,Personal,Personal,Future Building,Savings,Transfer,2026-07-04,16:10:37,2026-07-04 16:10:37,1047.28,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0091 | Savings | 1047.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0091,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0091 | Savings | 1047.28,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
94,MTR-IOS-0094,Personal,Personal,Future Building,Emergency Fund,Transfer,2025-12-01,12:21:14,2025-12-01 12:21:14,16467.85,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0094 | Emergency Fund | 16467.85,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0094,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0094 | Emergency Fund | 16467.85,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
97,MTR-IOS-0097,Personal,Personal,Future Building,Investments,Investment,2026-05-23,03:52:14,2026-05-23 03:52:14,14426.24,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0097 | Investments | 14426.24,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0097,ios,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0097 | Investments | 14426.24,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
100,MTR-IOS-0100,Personal,Personal,Future Building,Education,Expense,2026-05-04,08:08:42,2026-05-04 08:08:42,16161.79,INR,-16161.79,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0100 | Education | 16161.79,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0100,ios,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0100 | Education | 16161.79,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
103,MTR-IOS-0103,Personal,Personal,Future Building,Goal Contribution,Transfer,2025-11-25,22:58:49,2025-11-25 22:58:49,13732.74,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0103 | Goal Contribution | 13732.74,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0103,ios,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0103 | Goal Contribution | 13732.74,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
106,MTR-IOS-0106,Personal,Personal,Lifestyle,Dining,Expense,2026-08-20,03:30:15,2026-08-20 03:30:15,3093.0,INR,-3093.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0106 | Dining | 3093.00,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0106,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-IOS-PERSONAL-LIFESTYLE-0106 | Dining | 3093.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
109,MTR-IOS-0109,Personal,Personal,Lifestyle,Shopping,Expense,2026-02-09,19:24:12,2026-02-09 19:24:12,16207.58,INR,-16207.58,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0109 | Shopping | 16207.58,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0109,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-IOS-PERSONAL-LIFESTYLE-0109 | Shopping | 16207.58,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
112,MTR-IOS-0112,Personal,Personal,Lifestyle,Entertainment,Expense,2026-03-30,18:54:18,2026-03-30 18:54:18,14904.21,INR,-14904.21,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0112 | Entertainment | 14904.21,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0112,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Entertainment,MAESTRO-IOS-PERSONAL-LIFESTYLE-0112 | Entertainment | 14904.21,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
115,MTR-IOS-0115,Personal,Personal,Lifestyle,Travel,Expense,2026-03-21,10:05:43,2026-03-21 10:05:43,110.04,INR,-110.04,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0115 | Travel | 110.04,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0115,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Travel,MAESTRO-IOS-PERSONAL-LIFESTYLE-0115 | Travel | 110.04,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
118,MTR-IOS-0118,Personal,Personal,Lifestyle,Fitness,Expense,2025-11-05,07:44:01,2025-11-05 07:44:01,9923.61,INR,-9923.61,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0118 | Fitness | 9923.61,iPhone,B03,BASELINE_1_500,CREATED,idem-20260902-ios-0118,ios,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Fitness,MAESTRO-IOS-PERSONAL-LIFESTYLE-0118 | Fitness | 9923.61,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
