Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001
12,MTR-IOS-0012,Business,Business,Team Operations,Team Meal,Expense,2025-11-11,17:19:55,2025-11-11 17:19:55,153816.21,INR,-153816.21,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 153816.21,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0012
13,MTR-IOS-0013,Personal,Personal,Life Operations,Healthcare,Expense,2025-11-09,08:56:35,2025-11-09 08:56:35,12883.33,INR,-12883.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 12883.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0013
14,MTR-IOS-0014,Group,Shared Experience,Trip,Activities,Expense,2026-06-03,00:50:46,2026-06-03 00:50:46,8585.78,INR,-8585.78,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0014 | Activities | 8585.78,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0014
15,MTR-IOS-0015,Business,Business,Team Operations,Travel,Expense,2026-04-03,04:52:28,2026-04-03 04:52:28,126238.94,INR,-126238.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 126238.94,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0015
16,MTR-IOS-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2025-12-19,15:44:33,2025-12-19 15:44:33,12564.33,INR,-12564.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12564.33,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0016
17,MTR-IOS-0017,Group,Shared Experience,Trip,Shopping,Expense,2026-07-13,17:19:07,2026-07-13 17:19:07,14891.49,INR,-14891.49,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0017 | Shopping | 14891.49,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0017
18,MTR-IOS-0018,Business,Business,Team Operations,Training,Expense,2025-12-06,21:22:54,2025-12-06 21:22:54,77896.48,INR,-77896.48,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0018 | Training | 77896.48,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0018
19,MTR-IOS-0019,Personal,Personal,Life Operations,Repairs,Expense,2026-01-04,12:54:47,2026-01-04 12:54:47,17848.59,INR,-17848.59,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 17848.59,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0019
20,MTR-IOS-0020,Group,Shared Experience,Trip,Other,Expense,2026-07-10,02:41:12,2026-07-10 02:41:12,16125.67,INR,-16125.67,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0020 | Other | 16125.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0020
21,MTR-IOS-0021,Business,Business,Team Operations,Tools,Expense,2026-08-30,21:03:27,2026-08-30 21:03:27,135446.27,INR,-135446.27,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 135446.27,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0021
22,MTR-IOS-0022,Personal,Personal,Future Building,Savings,Transfer,2026-08-18,12:31:57,2026-08-18 12:31:57,16827.67,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0022 | Savings | 16827.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0022
23,MTR-IOS-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-06-01,20:52:46,2026-06-01 20:52:46,24925.16,INR,-24925.16,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0023 | Venue | 24925.16,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0023
24,MTR-IOS-0024,Business,Business,Business Runway,Funding,Income,2025-12-22,12:33:06,2025-12-22 12:33:06,121141.46,INR,121141.46,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 121141.46,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0024
25,MTR-IOS-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2025-11-21,03:01:08,2025-11-21 03:01:08,4005.71,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 4005.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0025
26,MTR-IOS-0026,Group,Shared Experience,Wedding,Catering,Expense,2026-06-13,12:22:45,2026-06-13 12:22:45,19704.71,INR,-19704.71,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0026 | Catering | 19704.71,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0026
27,MTR-IOS-0027,Business,Business,Business Runway,Revenue,Income,2025-12-03,06:00:42,2025-12-03 06:00:42,144069.9,INR,144069.9,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 144069.90,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0027
28,MTR-IOS-0028,Personal,Personal,Future Building,Investments,Investment,2025-10-04,22:40:03,2025-10-04 22:40:03,4161.04,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0028 | Investments | 4161.04,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0028
29,MTR-IOS-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-04-01,16:03:33,2026-04-01 16:03:33,15620.75,INR,-15620.75,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0029 | Decor | 15620.75,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0029
30,MTR-IOS-0030,Business,Business,Business Runway,Burn,Expense,2026-05-28,08:13:09,2026-05-28 08:13:09,142385.1,INR,-142385.1,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 142385.10,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0030
31,MTR-IOS-0031,Personal,Personal,Future Building,Education,Expense,2025-10-01,22:40:13,2025-10-01 22:40:13,6294.62,INR,-6294.62,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0031 | Education | 6294.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0031
32,MTR-IOS-0032,Group,Shared Experience,Wedding,Travel,Expense,2025-12-08,02:39:00,2025-12-08 02:39:00,16472.62,INR,-16472.62,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-WEDDING-0032 | Travel | 16472.62,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0032
33,MTR-IOS-0033,Business,Business,Business Runway,Reserve,Transfer,2026-02-26,12:20:25,2026-02-26 12:20:25,827.54,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 827.54,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0033
34,MTR-IOS-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-06-19,03:26:47,2026-06-19 03:26:47,10116.79,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 10116.79,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0034
35,MTR-IOS-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-23,03:38:36,2025-11-23 03:38:36,18821.96,INR,-18821.96,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0035 | Gifts | 18821.96,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0035
36,MTR-IOS-0036,Business,Business,Business Runway,Loan,Income,2026-03-06,23:55:25,2026-03-06 23:55:25,122441.2,INR,122441.2,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 122441.20,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0036
37,MTR-IOS-0037,Personal,Personal,Lifestyle,Dining,Expense,2026-04-06,17:23:47,2026-04-06 17:23:47,1.0,INR,-1.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0037
38,MTR-IOS-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-03-27,02:06:48,2026-03-27 02:06:48,6824.65,INR,-6824.65,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0038 | Photography | 6824.65,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0038
39,MTR-IOS-0039,Business,Business,Business Runway,Investment,Income,2026-07-28,16:32:18,2026-07-28 16:32:18,161177.11,INR,161177.11,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 161177.11,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0039
40,MTR-IOS-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-06-25,22:20:44,2026-06-25 22:20:44,8933.08,INR,-8933.08,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0040 | Shopping | 8933.08,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0040
41,MTR-IOS-0041,Group,Shared Experience,Wedding,Other,Expense,2025-10-26,13:47:32,2025-10-26 13:47:32,18392.39,INR,-18392.39,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0041 | Other | 18392.39,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0041
42,MTR-IOS-0042,Business,Business,Business Operations,Software,Expense,2026-04-15,13:34:21,2026-04-15 13:34:21,31212.26,INR,-31212.26,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 31212.26,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0042
43,MTR-IOS-0043,Personal,Personal,Lifestyle,Entertainment,Expense,2025-12-07,04:36:53,2025-12-07 04:36:53,3405.74,INR,-3405.74,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0043 | Entertainment | 3405.74,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0043
44,MTR-IOS-0044,Group,Shared Experience,Office Outing,Food,Expense,2026-05-16,04:50:46,2026-05-16 04:50:46,24075.67,INR,-24075.67,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-0044 | Food | 24075.67,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0044
45,MTR-IOS-0045,Business,Business,Business Operations,Rent,Expense,2026-02-01,18:14:19,2026-02-01 18:14:19,115020.15,INR,-115020.15,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 115020.15,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0045
46,MTR-IOS-0046,Personal,Personal,Lifestyle,Travel,Expense,2026-05-24,01:04:42,2026-05-24 01:04:42,2690.2,INR,-2690.2,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0046 | Travel | 2690.20,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0046
47,MTR-IOS-0047,Group,Shared Experience,Office Outing,Travel,Expense,2026-06-29,09:31:51,2026-06-29 09:31:51,26939.54,INR,-26939.54,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-OFFICE_OUTING-0047 | Travel | 26939.54,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0047
48,MTR-IOS-0048,Business,Business,Business Operations,Marketing,Expense,2026-03-11,09:51:36,2026-03-11 09:51:36,13101.49,INR,-13101.49,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 13101.49,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0048
49,MTR-IOS-0049,Personal,Personal,Lifestyle,Fitness,Expense,2026-06-15,19:33:03,2026-06-15 19:33:03,11242.4,INR,-11242.4,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0049 | Fitness | 11242.40,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0049
50,MTR-IOS-0050,Group,Shared Experience,Office Outing,Activities,Expense,2026-05-07,18:51:27,2026-05-07 18:51:27,23929.09,INR,-23929.09,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-OFFICE_OUTING-0050 | Activities | 23929.09,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0050
51,MTR-IOS-0051,Business,Business,Business Operations,Legal,Expense,2026-05-02,08:30:40,2026-05-02 08:30:40,129560.87,INR,-129560.87,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 129560.87,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0051
52,MTR-IOS-0052,Personal,Personal,Lifestyle,Hobbies,Expense,2026-04-13,00:36:48,2026-04-13 00:36:48,12569.92,INR,-12569.92,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0052 | Hobbies | 12569.92,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0052
53,MTR-IOS-0053,Group,Shared Experience,Office Outing,Venue,Expense,2026-08-13,01:11:13,2026-08-13 01:11:13,4138.0,INR,-4138.0,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-OFFICE_OUTING-0053 | Venue | 4138.00,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0053
54,MTR-IOS-0054,Business,Business,Business Operations,Accounting,Expense,2026-02-11,21:57:02,2026-02-11 21:57:02,56575.85,INR,-56575.85,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 56575.85,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0054
55,MTR-IOS-0055,Personal,Personal,Relationships,Gifts,Expense,2025-12-06,17:47:44,2025-12-06 17:47:44,11894.24,INR,-11894.24,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0055 | Gifts | 11894.24,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0055
56,MTR-IOS-0056,Group,Shared Experience,Office Outing,Other,Expense,2026-01-28,19:37:42,2026-01-28 19:37:42,2675.67,INR,-2675.67,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-OFFICE_OUTING-0056 | Other | 2675.67,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0056
57,MTR-IOS-0057,Business,Business,Business Operations,Equipment,Expense,2026-04-07,20:42:09,2026-04-07 20:42:09,133277.16,INR,-133277.16,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 133277.16,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0057
58,MTR-IOS-0058,Personal,Personal,Relationships,Dates,Expense,2026-03-17,23:28:00,2026-03-17 23:28:00,9526.28,INR,-9526.28,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0058 | Dates | 9526.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0058
59,MTR-IOS-0059,Group,Shared Experience,House Party,Food,Expense,2026-03-02,00:23:06,2026-03-02 00:23:06,645.28,INR,-645.28,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-HOUSE_PARTY-0059 | Food | 645.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0059
60,MTR-IOS-0060,Business,Business,Business Operations,Vendor,Expense,2025-11-13,07:17:40,2025-11-13 07:17:40,56257.61,INR,-56257.61,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 56257.61,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0060
61,MTR-IOS-0061,Personal,Personal,Relationships,Family,Expense,2025-12-08,04:04:37,2025-12-08 04:04:37,15808.23,INR,-15808.23,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0061 | Family | 15808.23,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0061
62,MTR-IOS-0062,Group,Shared Experience,House Party,Drinks,Expense,2026-03-20,09:39:48,2026-03-20 09:39:48,16257.19,INR,-16257.19,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-HOUSE_PARTY-0062 | Drinks | 16257.19,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0062
63,MTR-IOS-0063,Business,Business,Business Operations,Tax,Expense,2026-04-08,16:29:47,2026-04-08 16:29:47,139365.36,INR,-139365.36,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 139365.36,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0063
64,MTR-IOS-0064,Personal,Personal,Relationships,Friends,Expense,2025-10-31,19:21:55,2025-10-31 19:21:55,14580.17,INR,-14580.17,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0064 | Friends | 14580.17,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0064
65,MTR-IOS-0065,Group,Shared Experience,House Party,Decor,Expense,2026-04-30,08:28:10,2026-04-30 08:28:10,6500.81,INR,-6500.81,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-HOUSE_PARTY-0065 | Decor | 6500.81,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0065
66,MTR-IOS-0066,Business,Business,Team Operations,Payroll,Expense,2026-08-28,16:54:37,2026-08-28 16:54:37,113953.26,INR,-113953.26,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 113953.26,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0066
67,MTR-IOS-0067,Personal,Personal,Relationships,Celebrations,Expense,2026-01-22,02:50:04,2026-01-22 02:50:04,9094.31,INR,-9094.31,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 9094.31,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0067
68,MTR-IOS-0068,Group,Shared Experience,House Party,Supplies,Expense,2025-09-04,03:21:24,2025-09-04 03:21:24,12595.83,INR,-12595.83,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-HOUSE_PARTY-0068 | Supplies | 12595.83,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0068
69,MTR-IOS-0069,Business,Business,Team Operations,Contractor,Expense,2026-05-20,08:08:58,2026-05-20 08:08:58,136731.74,INR,-136731.74,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 136731.74,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0069
70,MTR-IOS-0070,Personal,Personal,Life Operations,Groceries,Expense,2026-04-27,06:43:45,2026-04-27 06:43:45,1050.87,INR,-1050.87,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 1050.87,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0070
71,MTR-IOS-0071,Group,Shared Experience,House Party,Other,Expense,2026-08-01,15:48:31,2026-08-01 15:48:31,22932.1,INR,-22932.1,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-HOUSE_PARTY-0071 | Other | 22932.10,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0071
72,MTR-IOS-0072,Business,Business,Team Operations,Hiring,Expense,2026-04-19,13:52:49,2026-04-19 13:52:49,101440.72,INR,-101440.72,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 101440.72,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0072
73,MTR-IOS-0073,Personal,Personal,Life Operations,Rent,Expense,2026-08-03,17:48:39,2026-08-03 17:48:39,2637.28,INR,-2637.28,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 2637.28,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0073
74,MTR-IOS-0074,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-08-26,08:31:00,2026-08-26 08:31:00,99.99,INR,99.99,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-GIFT_POOL-0074 | Contribution | 99.99,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0074
75,MTR-IOS-0075,Business,Business,Team Operations,Team Meal,Expense,2026-05-06,09:23:33,2026-05-06 09:23:33,31526.73,INR,-31526.73,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 31526.73,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0075
76,MTR-IOS-0076,Personal,Personal,Life Operations,Bills,Expense,2026-04-20,06:13:46,2026-04-20 06:13:46,12479.77,INR,-12479.77,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 12479.77,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0076
77,MTR-IOS-0077,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-10-22,21:55:33,2025-10-22 21:55:33,10652.95,INR,-10652.95,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-GIFT_POOL-0077 | Gift Purchase | 10652.95,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0077
78,MTR-IOS-0078,Business,Business,Team Operations,Travel,Expense,2026-02-19,19:51:07,2026-02-19 19:51:07,122605.77,INR,-122605.77,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 122605.77,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0078
79,MTR-IOS-0079,Personal,Personal,Life Operations,Transport,Expense,2026-08-21,08:44:49,2026-08-21 08:44:49,7262.27,INR,-7262.27,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 7262.27,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0079
80,MTR-IOS-0080,Group,Shared Purchase,Gift Pool,Delivery,Expense,2026-02-22,18:44:03,2026-02-22 18:44:03,5391.57,INR,-5391.57,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-GIFT_POOL-0080 | Delivery | 5391.57,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0080
81,MTR-IOS-0081,Business,Business,Team Operations,Training,Expense,2025-12-31,20:08:42,2025-12-31 20:08:42,91592.45,INR,-91592.45,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0081 | Training | 91592.45,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0081
82,MTR-IOS-0082,Personal,Personal,Life Operations,Healthcare,Expense,2025-10-15,21:12:15,2025-10-15 21:12:15,16572.13,INR,-16572.13,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 16572.13,iPhone,B02,BASELINE_1_500,CREATED,idem-20260902-ios-0082
