Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
12,MTR-APK-0012,Business,Business,Team Operations,Team Meal,Expense,2026-02-07,08:47:46,2026-02-07 08:47:46,57087.93,INR,-57087.93,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 57087.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0012,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0012 | Team Meal | 57087.93,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
13,MTR-APK-0013,Personal,Personal,Life Operations,Healthcare,Expense,2026-04-04,03:40:19,2026-04-04 03:40:19,6325.64,INR,-6325.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 6325.64,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0013,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0013 | Healthcare | 6325.64,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
14,MTR-APK-0014,Group,Shared Experience,Trip,Activities,Expense,2025-09-17,17:58:04,2025-09-17 17:58:04,10894.14,INR,-10894.14,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0014 | Activities | 10894.14,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0014,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-TRIP-0014 | Activities | 10894.14,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
15,MTR-APK-0015,Business,Business,Team Operations,Travel,Expense,2026-06-22,05:54:54,2026-06-22 05:54:54,31854.41,INR,-31854.41,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 31854.41,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0015,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0015 | Travel | 31854.41,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
16,MTR-APK-0016,Personal,Personal,Life Operations,Subscriptions,Expense,2026-03-21,10:49:28,2026-03-21 10:49:28,12497.6,INR,-12497.6,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12497.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0016,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Subscriptions,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0016 | Subscriptions | 12497.60,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
17,MTR-APK-0017,Group,Shared Experience,Trip,Shopping,Expense,2025-12-18,06:34:31,2025-12-18 06:34:31,20495.39,INR,-20495.39,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0017 | Shopping | 20495.39,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0017,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-APK-GROUP-TRIP-0017 | Shopping | 20495.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
18,MTR-APK-0018,Business,Business,Team Operations,Training,Expense,2025-09-20,14:39:54,2025-09-20 14:39:54,160903.22,INR,-160903.22,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0018 | Training | 160903.22,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0018,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0018 | Training | 160903.22,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
19,MTR-APK-0019,Personal,Personal,Life Operations,Repairs,Expense,2025-11-23,22:11:09,2025-11-23 22:11:09,4331.15,INR,-4331.15,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 4331.15,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0019,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Repairs,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0019 | Repairs | 4331.15,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
20,MTR-APK-0020,Group,Shared Experience,Trip,Other,Expense,2026-06-20,19:09:01,2026-06-20 19:09:01,6176.0,INR,-6176.0,APK Owner,3,EXACT,MAESTRO-APK-GROUP-TRIP-0020 | Other | 6176.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0020,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-TRIP-0020 | Other | 6176.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
21,MTR-APK-0021,Business,Business,Team Operations,Tools,Expense,2026-01-08,20:54:57,2026-01-08 20:54:57,102478.06,INR,-102478.06,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 102478.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0021,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0021 | Tools | 102478.06,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
22,MTR-APK-0022,Personal,Personal,Future Building,Savings,Transfer,2025-11-26,05:57:32,2025-11-26 05:57:32,13050.07,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0022 | Savings | 13050.07,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0022,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Savings,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0022 | Savings | 13050.07,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
23,MTR-APK-0023,Group,Shared Experience,Wedding,Venue,Expense,2026-01-26,16:24:14,2026-01-26 16:24:14,5009.34,INR,-5009.34,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0023 | Venue | 5009.34,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0023,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-APK-GROUP-WEDDING-0023 | Venue | 5009.34,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
24,MTR-APK-0024,Business,Business,Business Runway,Funding,Income,2025-11-06,15:46:33,2025-11-06 15:46:33,23613.48,INR,23613.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 23613.48,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0024,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0024 | Funding | 23613.48,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
25,MTR-APK-0025,Personal,Personal,Future Building,Emergency Fund,Transfer,2026-08-01,08:02:16,2026-08-01 08:02:16,1624.6,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 1624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0025,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Emergency Fund,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0025 | Emergency Fund | 1624.60,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
26,MTR-APK-0026,Group,Shared Experience,Wedding,Catering,Expense,2025-10-06,09:51:58,2025-10-06 09:51:58,9013.12,INR,-9013.12,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0026 | Catering | 9013.12,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0026,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-APK-GROUP-WEDDING-0026 | Catering | 9013.12,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
27,MTR-APK-0027,Business,Business,Business Runway,Revenue,Income,2026-05-25,13:21:34,2026-05-25 13:21:34,109992.93,INR,109992.93,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 109992.93,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0027,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0027 | Revenue | 109992.93,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
28,MTR-APK-0028,Personal,Personal,Future Building,Investments,Investment,2026-05-17,16:50:35,2026-05-17 16:50:35,11208.9,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0028 | Investments | 11208.90,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0028,android,P2,FUTURE_GOAL,Opportunity,P2:Opportunity,ACTIVE,qa.tile.opportunity,,,,,Investments,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0028 | Investments | 11208.90,JOINED_REVIEW,Future Investments → Opportunity proxy — REVIEW
29,MTR-APK-0029,Group,Shared Experience,Wedding,Decor,Expense,2026-02-08,17:00:05,2026-02-08 17:00:05,29739.05,INR,-29739.05,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0029 | Decor | 29739.05,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0029,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-WEDDING-0029 | Decor | 29739.05,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
30,MTR-APK-0030,Business,Business,Business Runway,Burn,Expense,2026-07-12,00:27:21,2026-07-12 00:27:21,140589.77,INR,-140589.77,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 140589.77,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0030,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0030 | Burn | 140589.77,JOINED,Runway Log Expense
31,MTR-APK-0031,Personal,Personal,Future Building,Education,Expense,2025-09-01,20:51:38,2025-09-01 20:51:38,4377.59,INR,-4377.59,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0031 | Education | 4377.59,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0031,android,P2,FUTURE_GOAL,Milestone,P2:Milestone,ACTIVE,qa.tile.milestone,personal.income.amount,personal.income.note,personal.income.submit,,Education,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0031 | Education | 4377.59,JOINED_REVIEW,No Expense hub on P2; Education expenses use Milestone as ACTIVE proxy until money tile restored — REVIEW
32,MTR-APK-0032,Group,Shared Experience,Wedding,Travel,Expense,2026-05-07,14:25:02,2026-05-07 14:25:02,17383.47,INR,-17383.47,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-WEDDING-0032 | Travel | 17383.47,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0032,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-APK-GROUP-WEDDING-0032 | Travel | 17383.47,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
33,MTR-APK-0033,Business,Business,Business Runway,Reserve,Transfer,2026-08-22,00:20:13,2026-08-22 00:20:13,74089.67,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 74089.67,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0033,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0033 | Reserve | 74089.67,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
34,MTR-APK-0034,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-02-16,18:28:10,2026-02-16 18:28:10,15043.4,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 15043.40,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0034,android,P2,FUTURE_GOAL,Progress,P2:Progress,ACTIVE,qa.tile.progress,personal.money.transfer.amount,personal.money.transfer.note,personal.money.transfer.submit,,Goal Contribution,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0034 | Goal Contribution | 15043.40,JOINED_REVIEW,Future Transfer/Savings/Goal Contribution → Progress proxy until P2 money hub exists — REVIEW
35,MTR-APK-0035,Group,Shared Experience,Wedding,Gifts,Expense,2025-11-03,12:53:45,2025-11-03 12:53:45,11051.76,INR,-11051.76,APK Meera,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0035 | Gifts | 11051.76,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0035,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-APK-GROUP-WEDDING-0035 | Gifts | 11051.76,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
36,MTR-APK-0036,Business,Business,Business Runway,Loan,Income,2025-11-02,18:03:39,2025-11-02 18:03:39,127583.08,INR,127583.08,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 127583.08,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0036,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0036 | Loan | 127583.08,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
37,MTR-APK-0037,Personal,Personal,Lifestyle,Dining,Expense,2025-12-12,15:37:13,2025-12-12 15:37:13,1.0,INR,-1.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0037,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Dining,MAESTRO-APK-PERSONAL-LIFESTYLE-0037 | Dining | 1.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
38,MTR-APK-0038,Group,Shared Experience,Wedding,Photography,Expense,2026-05-27,04:31:44,2026-05-27 04:31:44,2512.06,INR,-2512.06,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0038 | Photography | 2512.06,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0038,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-APK-GROUP-WEDDING-0038 | Photography | 2512.06,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
39,MTR-APK-0039,Business,Business,Business Runway,Investment,Income,2026-01-07,00:33:30,2026-01-07 00:33:30,173716.92,INR,173716.92,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 173716.92,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0039,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0039 | Investment | 173716.92,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
40,MTR-APK-0040,Personal,Personal,Lifestyle,Shopping,Expense,2026-05-18,11:59:38,2026-05-18 11:59:38,11815.79,INR,-11815.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0040 | Shopping | 11815.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0040,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Shopping,MAESTRO-APK-PERSONAL-LIFESTYLE-0040 | Shopping | 11815.79,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
41,MTR-APK-0041,Group,Shared Experience,Wedding,Other,Expense,2025-12-09,11:54:56,2025-12-09 11:54:56,24454.65,INR,-24454.65,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0041 | Other | 24454.65,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0041,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-APK-GROUP-WEDDING-0041 | Other | 24454.65,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
42,MTR-APK-0042,Business,Business,Business Operations,Software,Expense,2026-07-31,20:59:50,2026-07-31 20:59:50,94837.63,INR,-94837.63,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 94837.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0042,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0042 | Software | 94837.63,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
